Date, Time, Open, High, Low, Last, Volume, # of Trades, OHLC Avg, HLC Avg, HL Avg, Bid Vol, Ask Vol, Keltner Average, Top, Bottom, Volume
2016/3/11, 00:00:00.0, 1993.00, 1993.00, 1992.25, 1992.50, 239, 135, 1992.69, 1992.58, 1992.63, 140, 99, 1992.50, 0.00, 0.00, 239
2016/3/11, 00:05:00.0, 1992.50, 1992.50, 1991.75, 1992.25, 511, 278, 1992.25, 1992.17, 1992.13, 224, 287, 1992.33, 1994.02, 1990.65, 511
2016/3/11, 00:10:00.0, 1992.50, 1993.75, 1992.25, 1993.25, 259, 146, 1992.94, 1993.08, 1993.00, 86, 173, 1992.79, 1994.65, 1990.94, 259
2016/3/11, 00:15:00.0, 1993.50, 1993.75, 1993.25, 1993.50, 222, 133, 1993.50, 1993.50, 1993.50, 133, 89, 1993.08, 1994.86, 1991.29, 222
2016/3/11, 00:20:00.0, 1993.50, 1993.75, 1993.25, 1993.25, 113, 66, 1993.44, 1993.42, 1993.50, 85, 28, 1993.13, 1994.85, 1991.42, 113
2016/3/11, 00:25:00.0, 1993.00, 1993.50, 1993.00, 1993.50, 275, 123, 1993.25, 1993.33, 1993.25, 122, 153, 1993.24, 1994.90, 1991.58, 275
2016/3/11, 00:30:00.0, 1993.50, 1993.50, 1992.50, 1992.50, 370, 170, 1993.00, 1992.83, 1993.00, 252, 118, 1993.05, 1994.77, 1991.34, 370
2016/3/11, 00:35:00.0, 1992.50, 1992.50, 1991.25, 1991.50, 655, 291, 1991.94, 1991.75, 1991.88, 466, 189, 1992.71, 1994.54, 1990.88, 655
2016/3/11, 00:40:00.0, 1991.25, 1991.50, 1990.75, 1991.50, 606, 277, 1991.25, 1991.25, 1991.13, 319, 287, 1992.47, 1994.28, 1990.65, 606
2016/3/11, 00:45:00.0, 1991.25, 1991.50, 1990.75, 1991.50, 522, 248, 1991.25, 1991.25, 1991.13, 317, 205, 1992.29, 1994.09, 1990.49, 522
2016/3/11, 00:50:00.0, 1991.50, 1992.75, 1991.50, 1992.75, 304, 162, 1992.13, 1992.33, 1992.13, 110, 194, 1992.37, 1994.27, 1990.47, 304
2016/3/11, 00:55:00.0, 1992.75, 1993.00, 1991.75, 1992.25, 202, 99, 1992.44, 1992.33, 1992.38, 116, 86, 1992.35, 1994.34, 1990.36, 202
2016/3/11, 01:00:00.0, 1992.25, 1992.75, 1991.25, 1991.25, 329, 120, 1991.88, 1991.75, 1992.00, 144, 185, 1992.19, 1994.32, 1990.06, 329
2016/3/11, 01:05:00.0, 1991.00, 1991.25, 1990.25, 1991.00, 343, 217, 1990.88, 1990.83, 1990.75, 209, 134, 1992.03, 1994.18, 1989.89, 343
2016/3/11, 01:10:00.0, 1991.00, 1991.75, 1991.00, 1991.75, 505, 201, 1991.38, 1991.50, 1991.38, 131, 374, 1992.00, 1994.10, 1989.90, 505
2016/3/11, 01:15:00.0, 1991.75, 1991.75, 1991.00, 1991.50, 324, 131, 1991.50, 1991.42, 1991.38, 183, 141, 1991.94, 1994.00, 1989.88, 324
2016/3/11, 01:20:00.0, 1991.50, 1992.25, 1991.50, 1991.75, 173, 97, 1991.75, 1991.83, 1991.88, 56, 117, 1991.92, 1993.94, 1989.90, 173
2016/3/11, 01:25:00.0, 1992.00, 1992.00, 1991.75, 1991.75, 103, 57, 1991.88, 1991.83, 1991.88, 66, 37, 1991.90, 1993.77, 1990.03, 103
2016/3/11, 01:30:00.0, 1991.75, 1992.75, 1991.25, 1992.75, 428, 173, 1992.13, 1992.25, 1992.00, 243, 185, 1991.99, 1994.01, 1989.96, 428
2016/3/11, 01:35:00.0, 1992.75, 1993.00, 1991.75, 1992.75, 313, 152, 1992.56, 1992.50, 1992.38, 127, 186, 1992.06, 1994.16, 1989.96, 313
2016/3/11, 01:40:00.0, 1993.00, 1993.75, 1993.00, 1993.50, 309, 159, 1993.31, 1993.42, 1993.38, 53, 256, 1992.20, 1994.31, 1990.08, 309
2016/3/11, 01:45:00.0, 1993.50, 1993.50, 1992.75, 1992.75, 102, 68, 1993.13, 1993.00, 1993.13, 81, 21, 1992.25, 1994.32, 1990.17, 102
2016/3/11, 01:50:00.0, 1992.75, 1993.50, 1992.75, 1993.00, 145, 84, 1993.00, 1993.08, 1993.13, 93, 52, 1992.32, 1994.36, 1990.28, 145
2016/3/11, 01:55:00.0, 1993.00, 1993.75, 1993.00, 1993.50, 145, 86, 1993.31, 1993.42, 1993.38, 72, 73, 1992.43, 1994.43, 1990.43, 145
2016/3/11, 02:00:00.0, 1993.25, 1994.25, 1992.75, 1993.00, 1485, 633, 1993.31, 1993.33, 1993.50, 677, 808, 1992.49, 1994.62, 1990.35, 1485
2016/3/11, 02:05:00.0, 1993.00, 1993.50, 1992.75, 1993.50, 802, 313, 1993.19, 1993.25, 1993.13, 371, 431, 1992.58, 1994.68, 1990.49, 802
2016/3/11, 02:10:00.0, 1993.25, 1994.75, 1993.00, 1994.50, 1225, 518, 1993.88, 1994.08, 1993.88, 437, 788, 1992.77, 1995.04, 1990.49, 1225
2016/3/11, 02:15:00.0, 1994.50, 1997.75, 1994.50, 1997.50, 3029, 1319, 1996.06, 1996.58, 1996.13, 1182, 1847, 1993.22, 1996.00, 1990.44, 3029
2016/3/11, 02:20:00.0, 1997.50, 1999.00, 1996.75, 1998.75, 2228, 917, 1998.00, 1998.17, 1997.88, 957, 1271, 1993.74, 1996.75, 1990.73, 2228
2016/3/11, 02:25:00.0, 1998.50, 1999.00, 1998.00, 1998.75, 1707, 608, 1998.56, 1998.58, 1998.50, 829, 878, 1994.22, 1997.15, 1991.29, 1707
2016/3/11, 02:30:00.0, 1998.75, 1999.25, 1997.50, 1997.50, 2544, 1014, 1998.25, 1998.08, 1998.38, 1186, 1358, 1994.53, 1997.57, 1991.50, 2544
2016/3/11, 02:35:00.0, 1997.50, 1998.25, 1996.50, 1996.50, 2568, 923, 1997.19, 1997.08, 1997.38, 1363, 1205, 1994.72, 1997.84, 1991.60, 2568
