Date, Time, Open, High, Low, Last, Volume, # of Trades, OHLC Avg, HLC Avg, HL Avg, Bid Vol, Ask Vol, Keltner Average, Top, Bottom
2016/6/10, 00:00:10.0, 2102.50, 2103.75, 2102.50, 2103.00, 1519, 1000, 2102.94, 2103.08, 2103.13, 685, 834, 2103.00, 2105.81, 2100.19
2016/6/10, 00:53:41.12, 2103.00, 2103.50, 2102.50, 2102.75, 1679, 1000, 2102.94, 2102.92, 2103.00, 740, 939, 2102.83, 2105.59, 2100.08
2016/6/10, 01:36:33.13, 2102.75, 2103.75, 2102.25, 2102.25, 2040, 1000, 2102.75, 2102.75, 2103.00, 1016, 1024, 2102.54, 2105.36, 2099.72
2016/6/10, 02:14:56.11, 2102.25, 2102.75, 2101.25, 2102.75, 1918, 1000, 2102.25, 2102.25, 2102.00, 1030, 888, 2102.63, 2105.50, 2099.75
2016/6/10, 02:36:49.2, 2102.75, 2103.00, 2101.00, 2101.00, 1999, 1000, 2101.94, 2101.67, 2102.00, 1292, 707, 2102.08, 2105.12, 2099.05
2016/6/10, 02:56:25.25, 2101.00, 2101.50, 2100.25, 2100.50, 2393, 1000, 2100.81, 2100.75, 2100.88, 1114, 1279, 2101.63, 2104.65, 2098.62
2016/6/10, 03:02:48.4, 2100.50, 2100.50, 2099.25, 2100.00, 2391, 1000, 2100.06, 2099.92, 2099.88, 1366, 1025, 2101.22, 2104.22, 2098.23
2016/6/10, 03:07:28.49, 2100.00, 2100.75, 2099.25, 2099.50, 2145, 1000, 2099.88, 2099.83, 2100.00, 1193, 952, 2100.84, 2103.87, 2097.81
2016/6/10, 03:13:55.20, 2099.50, 2099.50, 2098.25, 2098.25, 2747, 1000, 2098.88, 2098.67, 2098.88, 1828, 919, 2100.32, 2103.33, 2097.31
2016/6/10, 03:15:05.112, 2098.25, 2098.75, 2097.75, 2097.75, 2192, 1000, 2098.13, 2098.08, 2098.25, 1246, 946, 2099.85, 2102.79, 2096.92
2016/6/10, 03:18:50.20, 2097.75, 2097.75, 2095.75, 2096.00, 2697, 1000, 2096.81, 2096.50, 2096.75, 1627, 1070, 2099.21, 2102.30, 2096.12
2016/6/10, 03:20:00.29, 2096.00, 2096.75, 2095.25, 2096.50, 2284, 1000, 2096.13, 2096.17, 2096.00, 966, 1318, 2098.79, 2101.91, 2095.68
2016/6/10, 03:23:04.17, 2096.50, 2097.25, 2096.25, 2097.00, 1978, 1000, 2096.75, 2096.83, 2096.75, 959, 1019, 2098.54, 2101.57, 2095.51
2016/6/10, 03:28:28.25, 2097.00, 2097.25, 2095.75, 2097.00, 2099, 1000, 2096.75, 2096.67, 2096.50, 1090, 1009, 2098.33, 2101.40, 2095.27
2016/6/10, 03:33:24.27, 2097.00, 2098.25, 2096.75, 2098.25, 2036, 1000, 2097.56, 2097.75, 2097.50, 900, 1136, 2098.32, 2101.42, 2095.23
2016/6/10, 03:40:14.29, 2098.25, 2098.25, 2097.00, 2097.25, 2165, 1000, 2097.69, 2097.50, 2097.63, 1262, 903, 2098.20, 2101.27, 2095.13
2016/6/10, 03:49:27.0, 2097.25, 2097.50, 2095.75, 2096.50, 2027, 1000, 2096.75, 2096.58, 2096.63, 1151, 876, 2098.01, 2101.16, 2094.85
2016/6/10, 03:58:04.6, 2096.50, 2096.75, 2095.25, 2096.50, 2493, 1000, 2096.25, 2096.17, 2096.00, 1492, 1001, 2097.85, 2101.03, 2094.67
2016/6/10, 04:02:56.11, 2096.50, 2097.25, 2095.00, 2095.00, 2510, 1000, 2095.94, 2095.75, 2096.13, 1335, 1175, 2097.56, 2100.93, 2094.20
2016/6/10, 04:07:46.15, 2095.00, 2095.00, 2094.00, 2094.25, 2456, 1000, 2094.56, 2094.42, 2094.50, 1502, 954, 2097.25, 2100.50, 2093.99
2016/6/10, 04:10:43.60, 2094.25, 2095.75, 2093.75, 2095.50, 2477, 1000, 2094.81, 2095.00, 2094.75, 1000, 1477, 2097.08, 2100.46, 2093.70
2016/6/10, 04:15:07.6, 2095.50, 2096.25, 2095.25, 2096.00, 2244, 1000, 2095.75, 2095.83, 2095.75, 1137, 1107, 2096.98, 2100.25, 2093.71
2016/6/10, 04:23:15.17, 2096.00, 2096.50, 2095.50, 2096.25, 2351, 1000, 2096.06, 2096.08, 2096.00, 991, 1360, 2096.91, 2100.07, 2093.75
2016/6/10, 04:34:50.0, 2096.50, 2096.75, 2095.25, 2095.50, 1996, 1000, 2096.00, 2095.83, 2096.00, 1060, 936, 2096.78, 2099.96, 2093.59
2016/6/10, 04:47:31.28, 2095.50, 2095.50, 2094.50, 2095.00, 2485, 1000, 2095.13, 2095.00, 2095.00, 1240, 1245, 2096.61, 2099.70, 2093.51
2016/6/10, 04:53:34.23, 2095.00, 2095.25, 2094.50, 2094.50, 2013, 1000, 2094.81, 2094.75, 2094.88, 979, 1034, 2096.41, 2099.36, 2093.45
2016/6/10, 05:00:53.0, 2094.50, 2095.25, 2093.75, 2093.75, 2294, 1000, 2094.31, 2094.25, 2094.50, 1135, 1159, 2096.15, 2099.15, 2093.16
2016/6/10, 05:06:46.20, 2093.75, 2093.75, 2092.75, 2092.75, 2567, 1000, 2093.25, 2093.08, 2093.25, 1677, 890, 2095.83, 2098.75, 2092.91
2016/6/10, 05:09:23.31, 2092.75, 2093.00, 2091.25, 2091.75, 2488, 1000, 2092.19, 2092.00, 2092.13, 1471, 1017, 2095.44, 2098.46, 2092.42
2016/6/10, 05:12:51.0, 2092.00, 2093.00, 2092.00, 2092.25, 2593, 1000, 2092.31, 2092.42, 2092.50, 1567, 1026, 2095.14, 2098.14, 2092.14
2016/6/10, 05:20:55.3, 2092.25, 2093.75, 2091.75, 2093.50, 2479, 1000, 2092.81, 2093.00, 2092.75, 968, 1511, 2094.98, 2098.13, 2091.83
2016/6/10, 05:29:30.15, 2093.50, 2094.00, 2093.00, 2093.25, 2138, 1000, 2093.44, 2093.42, 2093.50, 1140, 998, 2094.82, 2097.88, 2091.76
2016/6/10, 05:39:46.0, 2093.25, 2094.00, 2092.75, 2093.50, 2510, 1000, 2093.38, 2093.42, 2093.38, 1321, 1189, 2094.69, 2097.73, 2091.66
2016/6/10, 05:48:22.9, 2093.50, 2093.75, 2092.00, 2093.00, 2608, 1000, 2093.06, 2092.92, 2092.88, 1189, 1419, 2094.53, 2097.66, 2091.40
2016/6/10, 05:54:51.173, 2093.00, 2093.00, 2091.75, 2092.25, 2335, 1000, 2092.50, 2092.33, 2092.38, 1501, 834, 2094.31, 2097.41, 2091.22
2016/6/10, 06:03:07.0, 2092.25, 2092.50, 2091.25, 2092.00, 2565, 1000, 2092.00, 2091.92, 2091.88, 1339, 1226, 2094.09, 2097.16, 2091.03
2016/6/10, 06:08:07.29, 2092.00, 2093.25, 2092.00, 2093.00, 2505, 1000, 2092.56, 2092.75, 2092.63, 1116, 1389, 2093.99, 2097.03, 2090.95
2016/6/10, 06:14:56.2, 2093.00, 2093.50, 2092.75, 2093.50, 2307, 1000, 2093.19, 2093.25, 2093.13, 1136, 1171, 2093.94, 2096.85, 2091.04
2016/6/10, 06:26:33.32, 2093.50, 2093.75, 2092.50, 2093.00, 2223, 1000, 2093.19, 2093.08, 2093.13, 1257, 966, 2093.85, 2096.75, 2090.96
2016/6/10, 06:39:05.34, 2093.00, 2093.75, 2092.50, 2093.25, 2321, 1000, 2093.13, 2093.17, 2093.13, 951, 1370, 2093.79, 2096.68, 2090.91
2016/6/10, 06:47:37.3, 2093.25, 2093.50, 2092.75, 2093.25, 2551, 1000, 2093.19, 2093.17, 2093.13, 1394, 1157, 2093.74, 2096.51, 2090.98
2016/6/10, 07:02:38.60, 2093.25, 2094.00, 2092.75, 2093.75, 2652, 1000, 2093.44, 2093.50, 2093.38, 1182, 1470, 2093.74, 2096.52, 2090.97
2016/6/10, 07:08:28.8, 2093.75, 2094.50, 2093.50, 2094.00, 2439, 1000, 2093.94, 2094.00, 2094.00, 1005, 1434, 2093.77, 2096.49, 2091.05
2016/6/10, 07:12:49.8, 2094.00, 2095.00, 2093.50, 2095.00, 3073, 1000, 2094.38, 2094.50, 2094.25, 1263, 1810, 2093.89, 2096.67, 2091.10
2016/6/10, 07:19:53.75, 2095.00, 2095.25, 2094.00, 2094.00, 2237, 1000, 2094.56, 2094.42, 2094.63, 1170, 1067, 2093.90, 2096.68, 2091.11
2016/6/10, 07:25:57.8, 2094.00, 2094.00, 2092.50, 2092.75, 2791, 1000, 2093.31, 2093.08, 2093.25, 2086, 705, 2093.79, 2096.63, 2090.94
2016/6/10, 07:36:42.15, 2092.75, 2093.00, 2092.00, 2092.50, 3067, 1000, 2092.56, 2092.50, 2092.50, 1360, 1707, 2093.66, 2096.45, 2090.88
2016/6/10, 07:48:14.33, 2092.50, 2092.75, 2092.00, 2092.75, 2909, 1000, 2092.50, 2092.50, 2092.38, 1590, 1319, 2093.58, 2096.25, 2090.90
2016/6/10, 07:54:53.27, 2092.75, 2093.00, 2091.75, 2092.00, 2966, 1000, 2092.38, 2092.25, 2092.38, 1801, 1165, 2093.43, 2096.12, 2090.74
2016/6/10, 08:00:22.171, 2092.00, 2092.50, 2091.25, 2091.25, 2616, 1000, 2091.75, 2091.67, 2091.88, 1414, 1202, 2093.22, 2095.92, 2090.52
2016/6/10, 08:04:09.20, 2091.25, 2092.75, 2091.25, 2092.50, 2646, 1000, 2091.94, 2092.17, 2092.00, 1245, 1401, 2093.15, 2095.92, 2090.38
2016/6/10, 08:08:10.12, 2092.50, 2093.00, 2092.25, 2092.50, 2400, 1000, 2092.56, 2092.58, 2092.63, 1494, 906, 2093.09, 2095.75, 2090.43
