Date, Time, Open, High, Low, Last, Volume, # of Trades, OHLC Avg, HLC Avg, HL Avg, Bid Vol, Ask Vol, Keltner Average, Top, Bottom, Volume
2016/6/10, 00:00:10.0, 2102.50, 2103.75, 2101.00, 2101.00, 9156, 5000, 2102.06, 2101.92, 2102.38, 4758, 4398, 2101.00, 2107.19, 2094.81, 9156
2016/6/10, 02:56:25.0, 2101.00, 2101.50, 2097.50, 2097.50, 11887, 5000, 2099.38, 2098.83, 2099.50, 6749, 5137, 2098.67, 2105.14, 2092.20, 11887
2016/6/10, 03:18:50.0, 2098.00, 2098.25, 2095.25, 2098.25, 11083, 5000, 2097.44, 2097.25, 2096.75, 5558, 5526, 2098.46, 2104.96, 2091.96, 11083
2016/6/10, 03:40:14.0, 2098.25, 2098.25, 2094.00, 2094.25, 11652, 5000, 2096.19, 2095.50, 2096.13, 6671, 4980, 2096.78, 2103.58, 2089.97, 11652
2016/6/10, 04:10:43.0, 2094.50, 2096.75, 2093.75, 2095.25, 11532, 5000, 2095.06, 2095.25, 2095.25, 5486, 6047, 2096.27, 2103.06, 2089.47, 11532
2016/6/10, 04:53:34.0, 2095.00, 2095.25, 2091.25, 2092.25, 11965, 5000, 2093.44, 2092.92, 2093.25, 6829, 5136, 2095.12, 2102.14, 2088.10, 11965
2016/6/10, 05:20:55.0, 2092.25, 2094.00, 2091.75, 2092.25, 12071, 5000, 2092.56, 2092.67, 2092.88, 6119, 5952, 2094.40, 2101.22, 2087.58, 12071
2016/6/10, 06:03:07.0, 2092.25, 2093.75, 2091.25, 2093.25, 11920, 5000, 2092.63, 2092.75, 2092.50, 5801, 6119, 2094.15, 2100.85, 2087.44, 11920
2016/6/10, 06:47:37.0, 2093.25, 2095.25, 2092.75, 2094.00, 12950, 5000, 2093.81, 2094.00, 2094.00, 6009, 6941, 2094.12, 2100.71, 2087.52, 12950
2016/6/10, 07:25:57.0, 2094.00, 2094.00, 2091.25, 2091.50, 14376, 5000, 2092.69, 2092.25, 2092.63, 8255, 6121, 2093.64, 2100.20, 2087.09, 14376
2016/6/10, 08:04:09.0, 2091.25, 2093.00, 2091.25, 2091.75, 13215, 5000, 2091.81, 2092.00, 2092.13, 6906, 6309, 2093.33, 2099.62, 2087.03, 13215
2016/6/10, 08:37:03.0, 2091.75, 2092.00, 2089.50, 2089.50, 12801, 5000, 2090.69, 2090.33, 2090.75, 8189, 4612, 2092.74, 2098.96, 2086.51, 12801
2016/6/10, 08:53:31.0, 2089.50, 2090.25, 2088.75, 2089.00, 13498, 5000, 2089.38, 2089.33, 2089.50, 6946, 6551, 2092.20, 2098.14, 2086.26, 13498
2016/6/10, 09:14:44.0, 2089.00, 2090.50, 2088.75, 2090.25, 14211, 5000, 2089.63, 2089.83, 2089.63, 6579, 7632, 2091.94, 2097.68, 2086.20, 14211
2016/6/10, 09:30:17.0, 2090.00, 2091.25, 2089.75, 2090.75, 15300, 5000, 2090.44, 2090.58, 2090.50, 6274, 9027, 2091.79, 2097.30, 2086.29, 15300
2016/6/10, 09:32:44.0, 2090.75, 2091.25, 2090.00, 2090.00, 15072, 5000, 2090.50, 2090.42, 2090.63, 8113, 6958, 2091.58, 2096.82, 2086.35, 15072
2016/6/10, 09:35:44.0, 2090.00, 2090.25, 2088.25, 2088.50, 15534, 5000, 2089.25, 2089.00, 2089.25, 8791, 6744, 2091.24, 2096.40, 2086.08, 15534
2016/6/10, 09:37:54.0, 2088.75, 2089.00, 2087.75, 2088.25, 15033, 5000, 2088.44, 2088.33, 2088.38, 7838, 7195, 2090.93, 2095.85, 2086.00, 15033
2016/6/10, 09:39:51.0, 2088.25, 2088.25, 2086.50, 2086.75, 14297, 5000, 2087.44, 2087.17, 2087.38, 7464, 6834, 2090.51, 2095.34, 2085.68, 14297
2016/6/10, 09:41:39.0, 2086.50, 2088.25, 2086.50, 2088.25, 14390, 5000, 2087.38, 2087.67, 2087.38, 6565, 7823, 2090.29, 2095.03, 2085.55, 14390
2016/6/10, 09:44:52.0, 2088.25, 2088.75, 2087.25, 2088.50, 13706, 5000, 2088.19, 2088.17, 2088.00, 6251, 7456, 2090.12, 2094.72, 2085.52, 13706
2016/6/10, 09:47:40.0, 2088.50, 2088.75, 2087.00, 2087.00, 15085, 5000, 2087.81, 2087.58, 2087.88, 7967, 7117, 2089.82, 2094.36, 2085.29, 15085
2016/6/10, 09:51:31.0, 2087.00, 2089.25, 2086.50, 2088.50, 14267, 5000, 2087.81, 2088.08, 2087.88, 6371, 7897, 2089.70, 2094.40, 2085.00, 14267
2016/6/10, 09:54:09.0, 2089.00, 2089.50, 2087.75, 2088.75, 16484, 5000, 2088.75, 2088.67, 2088.63, 8413, 8071, 2089.61, 2094.23, 2084.98, 16484
2016/6/10, 09:56:44.0, 2088.75, 2089.75, 2088.00, 2088.00, 17455, 5000, 2088.63, 2088.58, 2088.88, 7009, 10446, 2089.46, 2094.01, 2084.90, 17455
2016/6/10, 10:01:34.0, 2088.25, 2089.00, 2087.00, 2087.25, 14035, 5000, 2087.88, 2087.75, 2088.00, 7345, 6690, 2089.25, 2093.80, 2084.70, 14035
2016/6/10, 10:04:50.0, 2087.25, 2087.50, 2086.25, 2087.25, 15089, 5000, 2087.06, 2087.00, 2086.88, 8649, 6440, 2089.06, 2093.43, 2084.68, 15089
2016/6/10, 10:08:17.0, 2087.00, 2087.50, 2086.25, 2086.75, 14667, 5000, 2086.88, 2086.83, 2086.88, 7073, 7594, 2088.84, 2093.06, 2084.62, 14667
2016/6/10, 10:13:53.0, 2086.75, 2087.25, 2086.00, 2087.00, 14048, 5000, 2086.75, 2086.75, 2086.63, 6426, 7622, 2088.66, 2092.74, 2084.58, 14048
2016/6/10, 10:18:27.0, 2087.25, 2089.00, 2086.75, 2088.75, 13822, 5000, 2087.94, 2088.17, 2087.88, 5308, 8514, 2088.67, 2092.85, 2084.49, 13822
2016/6/10, 10:22:25.0, 2088.75, 2091.25, 2088.75, 2091.00, 15677, 5000, 2089.94, 2090.33, 2090.00, 6389, 9287, 2088.89, 2093.21, 2084.57, 15677
2016/6/10, 10:25:52.0, 2091.00, 2092.25, 2090.75, 2091.25, 15270, 5000, 2091.31, 2091.42, 2091.50, 7179, 8092, 2089.12, 2093.34, 2084.89, 15270
2016/6/10, 10:29:29.0, 2091.25, 2093.75, 2091.00, 2093.75, 14754, 5000, 2092.44, 2092.83, 2092.38, 5885, 8869, 2089.56, 2093.98, 2085.13, 14754
2016/6/10, 10:33:43.0, 2093.50, 2094.00, 2092.25, 2092.25, 14967, 5000, 2093.00, 2092.83, 2093.13, 7670, 7298, 2089.81, 2094.19, 2085.44, 14967
2016/6/10, 10:37:17.0, 2092.25, 2092.50, 2090.75, 2092.00, 14098, 5000, 2091.88, 2091.75, 2091.63, 7883, 6214, 2090.02, 2094.35, 2085.69, 14098
2016/6/10, 10:42:08.0, 2091.75, 2092.25, 2090.00, 2090.25, 13600, 5000, 2091.06, 2090.83, 2091.13, 7322, 6277, 2090.04, 2094.45, 2085.64, 13600
