Date, Time, Open, High, Low, Last, Volume, # of Trades, OHLC Avg, HLC Avg, HL Avg, Bid Vol, Ask Vol, Keltner Average, Top, Bottom, Volume
2016/6/10, 00:00:00.0, 2102.50, 2103.00, 2102.50, 2102.75, 165, 63, 2102.69, 2102.75, 2102.75, 37, 128, 2102.75, 0.00, 0.00, 165
2016/6/10, 00:05:00.0, 2103.00, 2103.25, 2102.75, 2103.25, 301, 168, 2103.06, 2103.08, 2103.00, 123, 178, 2103.08, 2104.21, 2101.96, 301
2016/6/10, 00:10:00.0, 2103.25, 2103.50, 2103.00, 2103.50, 156, 100, 2103.31, 2103.33, 2103.25, 79, 77, 2103.29, 2104.42, 2102.17, 156
2016/6/10, 00:15:00.0, 2103.25, 2103.50, 2103.25, 2103.50, 47, 39, 2103.38, 2103.42, 2103.38, 16, 31, 2103.38, 2104.47, 2102.28, 47
2016/6/10, 00:20:00.0, 2103.50, 2103.50, 2103.25, 2103.50, 54, 42, 2103.44, 2103.42, 2103.38, 22, 32, 2103.42, 2104.49, 2102.35, 54
2016/6/10, 00:25:00.0, 2103.50, 2103.50, 2103.25, 2103.25, 71, 57, 2103.38, 2103.33, 2103.38, 38, 33, 2103.37, 2104.41, 2102.32, 71
2016/6/10, 00:30:00.0, 2103.25, 2103.50, 2103.00, 2103.25, 88, 67, 2103.25, 2103.25, 2103.25, 59, 29, 2103.34, 2104.39, 2102.29, 88
2016/6/10, 00:35:00.0, 2103.25, 2103.75, 2103.00, 2103.50, 147, 100, 2103.38, 2103.42, 2103.38, 61, 86, 2103.38, 2104.46, 2102.29, 147
2016/6/10, 00:40:00.0, 2103.50, 2103.50, 2103.00, 2103.00, 258, 199, 2103.25, 2103.17, 2103.25, 152, 106, 2103.30, 2104.38, 2102.22, 258
2016/6/10, 00:45:00.0, 2103.25, 2103.50, 2103.00, 2103.25, 159, 104, 2103.25, 2103.25, 2103.25, 64, 95, 2103.29, 2104.38, 2102.21, 159
2016/6/10, 00:50:00.0, 2103.25, 2103.50, 2103.00, 2103.25, 106, 89, 2103.25, 2103.25, 2103.25, 58, 48, 2103.28, 2104.37, 2102.20, 106
2016/6/10, 00:55:00.0, 2103.00, 2103.25, 2103.00, 2103.00, 93, 66, 2103.06, 2103.08, 2103.13, 67, 26, 2103.24, 2104.30, 2102.18, 93
2016/6/10, 01:00:00.0, 2103.25, 2103.25, 2102.75, 2103.25, 265, 164, 2103.13, 2103.08, 2103.00, 139, 126, 2103.24, 2104.31, 2102.18, 265
2016/6/10, 01:05:00.0, 2103.25, 2103.50, 2103.00, 2103.00, 186, 116, 2103.19, 2103.17, 2103.25, 114, 72, 2103.21, 2104.28, 2102.14, 186
2016/6/10, 01:10:00.0, 2103.25, 2103.25, 2102.75, 2102.75, 247, 151, 2103.00, 2102.92, 2103.00, 150, 97, 2103.15, 2104.22, 2102.08, 247
2016/6/10, 01:15:00.0, 2103.00, 2103.00, 2102.75, 2103.00, 56, 34, 2102.94, 2102.92, 2102.88, 24, 32, 2103.13, 2104.18, 2102.09, 56
2016/6/10, 01:20:00.0, 2102.75, 2103.00, 2102.50, 2102.75, 199, 127, 2102.75, 2102.75, 2102.75, 84, 115, 2103.09, 2104.14, 2102.04, 199
2016/6/10, 01:25:00.0, 2102.75, 2102.75, 2102.50, 2102.75, 147, 80, 2102.69, 2102.67, 2102.63, 20, 127, 2103.06, 2104.08, 2102.03, 147
2016/6/10, 01:30:00.0, 2102.75, 2103.00, 2102.50, 2102.75, 434, 220, 2102.75, 2102.75, 2102.75, 100, 334, 2103.03, 2104.05, 2102.00, 434
2016/6/10, 01:35:00.0, 2103.00, 2103.00, 2102.75, 2102.75, 110, 65, 2102.88, 2102.83, 2102.88, 92, 18, 2103.00, 2104.01, 2101.99, 110
2016/6/10, 01:40:00.0, 2103.00, 2103.00, 2102.75, 2102.75, 177, 87, 2102.88, 2102.83, 2102.88, 86, 91, 2102.98, 2103.96, 2101.99, 177
2016/6/10, 01:45:00.0, 2102.75, 2102.75, 2102.50, 2102.75, 115, 58, 2102.69, 2102.67, 2102.63, 39, 76, 2102.95, 2103.92, 2101.99, 115
2016/6/10, 01:50:00.0, 2103.00, 2103.00, 2102.75, 2103.00, 135, 54, 2102.94, 2102.92, 2102.88, 110, 25, 2102.96, 2103.90, 2102.02, 135
2016/6/10, 01:55:00.0, 2102.75, 2103.00, 2102.50, 2102.50, 116, 61, 2102.69, 2102.67, 2102.75, 65, 51, 2102.91, 2103.87, 2101.96, 116
2016/6/10, 02:00:00.0, 2102.75, 2103.00, 2102.75, 2103.00, 282, 143, 2102.88, 2102.92, 2102.88, 50, 232, 2102.92, 2103.88, 2101.96, 282
2016/6/10, 02:05:00.0, 2103.00, 2103.75, 2102.75, 2102.75, 746, 344, 2103.06, 2103.08, 2103.25, 385, 361, 2102.91, 2103.93, 2101.88, 746
2016/6/10, 02:10:00.0, 2102.75, 2103.00, 2102.25, 2102.25, 427, 229, 2102.56, 2102.50, 2102.63, 220, 207, 2102.84, 2103.90, 2101.79, 427
2016/6/10, 02:15:00.0, 2102.50, 2102.75, 2102.25, 2102.25, 282, 119, 2102.44, 2102.42, 2102.50, 193, 89, 2102.79, 2103.85, 2101.73, 282
2016/6/10, 02:20:00.0, 2102.25, 2102.50, 2102.00, 2102.25, 417, 175, 2102.25, 2102.25, 2102.25, 197, 220, 2102.74, 2103.80, 2101.67, 417
2016/6/10, 02:25:00.0, 2102.25, 2102.25, 2101.25, 2101.75, 840, 486, 2101.88, 2101.75, 2101.75, 490, 350, 2102.64, 2103.77, 2101.52, 840
2016/6/10, 02:30:00.0, 2102.00, 2102.75, 2102.00, 2102.75, 239, 148, 2102.38, 2102.50, 2102.38, 65, 174, 2102.65, 2103.83, 2101.47, 239
2016/6/10, 02:35:00.0, 2102.75, 2103.00, 2102.75, 2103.00, 204, 106, 2102.88, 2102.92, 2102.88, 129, 75, 2102.69, 2103.83, 2101.54, 204
2016/6/10, 02:40:00.0, 2102.75, 2102.75, 2102.50, 2102.50, 505, 233, 2102.63, 2102.58, 2102.63, 349, 156, 2102.67, 2103.82, 2101.52, 505
2016/6/10, 02:45:00.0, 2102.50, 2102.50, 2101.75, 2102.00, 353, 205, 2102.19, 2102.08, 2102.13, 185, 168, 2102.60, 2103.78, 2101.43, 353
2016/6/10, 02:50:00.0, 2101.75, 2101.75, 2101.25, 2101.50, 755, 369, 2101.56, 2101.50, 2101.50, 524, 231, 2102.50, 2103.70, 2101.30, 755
2016/6/10, 02:55:00.0, 2101.50, 2101.50, 2100.75, 2101.25, 783, 335, 2101.25, 2101.17, 2101.13, 331, 452, 2102.38, 2103.61, 2101.16, 783
2016/6/10, 03:00:00.0, 2101.00, 2101.25, 2099.25, 2099.75, 3219, 1364, 2100.31, 2100.08, 2100.25, 1845, 1374, 2102.13, 2103.52, 2100.74, 3219
2016/6/10, 03:05:00.0, 2099.75, 2100.75, 2099.25, 2100.25, 2021, 862, 2100.00, 2100.08, 2100.00, 951, 1070, 2101.95, 2103.44, 2100.46, 2021
2016/6/10, 03:10:00.0, 2100.25, 2100.25, 2098.50, 2098.75, 3107, 1371, 2099.44, 2099.17, 2099.38, 1959, 1148, 2101.65, 2103.26, 2100.04, 3107
2016/6/10, 03:15:00.0, 2099.00, 2099.00, 2095.75, 2096.00, 5649, 2171, 2097.44, 2096.92, 2097.38, 3433, 2216, 2101.11, 2103.00, 2099.21, 5649
2016/6/10, 03:20:00.0, 2096.25, 2097.25, 2095.25, 2097.25, 2997, 1367, 2096.50, 2096.58, 2096.25, 1286, 1711, 2100.74, 2102.77, 2098.71, 2997
2016/6/10, 03:25:00.0, 2097.00, 2097.25, 2096.25, 2096.50, 1706, 831, 2096.75, 2096.67, 2096.75, 897, 809, 2100.34, 2102.37, 2098.30, 1706
2016/6/10, 03:30:00.0, 2096.50, 2097.50, 2095.75, 2097.50, 2426, 1134, 2096.81, 2096.92, 2096.63, 1186, 1240, 2100.07, 2102.20, 2097.93, 2426
2016/6/10, 03:35:00.0, 2097.50, 2098.25, 2097.25, 2098.25, 1233, 648, 2097.81, 2097.92, 2097.75, 551, 682, 2099.89, 2102.03, 2097.76, 1233
2016/6/10, 03:40:00.0, 2098.25, 2098.25, 2097.50, 2097.50, 1011, 472, 2097.88, 2097.75, 2097.88, 649, 362, 2099.67, 2101.78, 2097.55, 1011
2016/6/10, 03:45:00.0, 2097.50, 2097.75, 2097.00, 2097.50, 1342, 617, 2097.44, 2097.42, 2097.38, 692, 650, 2099.46, 2101.55, 2097.37, 1342
2016/6/10, 03:50:00.0, 2097.50, 2097.50, 2096.50, 2096.50, 1172, 559, 2097.00, 2096.83, 2097.00, 657, 515, 2099.18, 2101.28, 2097.08, 1172
2016/6/10, 03:55:00.0, 2096.75, 2097.00, 2095.25, 2095.50, 2422, 1029, 2096.13, 2095.92, 2096.13, 1596, 826, 2098.83, 2101.02, 2096.63, 2422
2016/6/10, 04:00:00.0, 2095.50, 2097.25, 2095.25, 2096.75, 1633, 692, 2096.19, 2096.42, 2096.25, 765, 868, 2098.63, 2100.94, 2096.32, 1633
2016/6/10, 04:05:00.0, 2096.50, 2096.50, 2094.00, 2094.25, 3886, 1556, 2095.31, 2094.92, 2095.25, 2203, 1683, 2098.21, 2100.72, 2095.71, 3886
2016/6/10, 04:10:00.0, 2094.50, 2095.75, 2093.75, 2095.50, 2592, 1064, 2094.88, 2095.00, 2094.75, 1181, 1411, 2097.95, 2100.56, 2095.35, 2592
2016/6/10, 04:15:00.0, 2095.50, 2096.00, 2095.25, 2096.00, 1152, 527, 2095.69, 2095.75, 2095.63, 574, 578, 2097.77, 2100.32, 2095.21, 1152
2016/6/10, 04:20:00.0, 2096.00, 2096.25, 2095.25, 2095.75, 1547, 666, 2095.81, 2095.75, 2095.75, 751, 796, 2097.58, 2100.12, 2095.03, 1547
2016/6/10, 04:25:00.0, 2095.75, 2096.25, 2095.75, 2095.75, 1095, 437, 2095.88, 2095.92, 2096.00, 438, 657, 2097.40, 2099.87, 2094.93, 1095
2016/6/10, 04:30:00.0, 2095.75, 2096.50, 2095.50, 2096.50, 969, 432, 2096.06, 2096.17, 2096.00, 391, 578, 2097.32, 2099.78, 2094.86, 969
2016/6/10, 04:35:00.0, 2096.50, 2096.50, 2096.00, 2096.00, 664, 302, 2096.25, 2096.17, 2096.25, 263, 401, 2097.19, 2099.58, 2094.80, 664
2016/6/10, 04:40:00.0, 2096.00, 2096.75, 2095.75, 2095.75, 782, 459, 2096.06, 2096.08, 2096.25, 495, 287, 2097.05, 2099.44, 2094.67, 782
2016/6/10, 04:45:00.0, 2096.00, 2096.00, 2094.50, 2094.75, 1980, 786, 2095.31, 2095.08, 2095.25, 1089, 891, 2096.83, 2099.27, 2094.40, 1980
2016/6/10, 04:50:00.0, 2094.75, 2095.25, 2094.50, 2094.75, 1327, 579, 2094.81, 2094.83, 2094.88, 623, 704, 2096.64, 2099.03, 2094.24, 1327
2016/6/10, 04:55:00.0, 2094.75, 2095.25, 2094.50, 2094.75, 1567, 770, 2094.81, 2094.83, 2094.88, 735, 832, 2096.46, 2098.82, 2094.09, 1567
2016/6/10, 05:00:00.0, 2094.50, 2095.25, 2094.50, 2095.00, 1101, 503, 2094.81, 2094.92, 2094.88, 375, 726, 2096.32, 2098.65, 2093.99, 1101
2016/6/10, 05:05:00.0, 2094.75, 2094.75, 2092.50, 2092.50, 4238, 1766, 2093.63, 2093.25, 2093.63, 2703, 1535, 2095.95, 2098.45, 2093.46, 4238
2016/6/10, 05:10:00.0, 2092.50, 2092.75, 2091.25, 2092.75, 3397, 1340, 2092.31, 2092.25, 2092.00, 1873, 1524, 2095.65, 2098.19, 2093.11, 3397
2016/6/10, 05:15:00.0, 2092.50, 2093.00, 2092.00, 2092.25, 1173, 393, 2092.44, 2092.42, 2092.50, 826, 347, 2095.32, 2097.85, 2092.80, 1173
