Date, Time, Open, High, Low, Last, Volume, # of Trades, OHLC Avg, HLC Avg, HL Avg, Bid Vol, Ask Vol, Keltner Average, Top, Bottom, Volume
2016/9/9, 00:00:00.0, 2171.75, 2171.75, 2168.00, 2168.00, 10836, 5000, 2169.88, 2169.25, 2169.88, 5790, 5046, 2168.00, 0.00, 0.00, 10836
2016/9/9, 03:06:04.0, 2168.25, 2169.50, 2167.25, 2168.75, 10886, 5000, 2168.44, 2168.50, 2168.38, 5704, 5182, 2168.50, 2176.60, 2160.40, 10886
2016/9/9, 03:36:17.1, 2168.75, 2169.25, 2167.25, 2167.75, 11020, 5000, 2168.25, 2168.08, 2168.25, 5710, 5310, 2168.13, 2175.86, 2160.39, 11020
2016/9/9, 04:19:50.1, 2167.75, 2169.50, 2166.75, 2168.25, 10879, 5000, 2168.06, 2168.17, 2168.13, 5449, 5430, 2168.18, 2175.76, 2160.59, 10879
2016/9/9, 05:42:04.3, 2168.25, 2168.75, 2164.75, 2165.25, 12013, 5000, 2166.75, 2166.25, 2166.75, 6798, 5215, 2167.20, 2174.93, 2159.47, 12013
2016/9/9, 06:58:38.32, 2165.25, 2165.25, 2161.25, 2161.25, 13372, 5000, 2163.25, 2162.58, 2163.25, 7543, 5829, 2165.50, 2173.35, 2157.65, 13372
2016/9/9, 07:49:33.0, 2161.25, 2163.00, 2161.00, 2161.25, 14392, 5000, 2161.63, 2161.75, 2162.00, 7041, 7351, 2164.44, 2171.96, 2156.92, 14392
2016/9/9, 08:14:01.17, 2161.25, 2162.00, 2157.50, 2158.75, 14009, 5000, 2159.88, 2159.42, 2159.75, 7521, 6488, 2163.17, 2170.95, 2155.39, 14009
2016/9/9, 08:24:33.8, 2158.75, 2160.25, 2157.75, 2158.75, 13451, 5000, 2158.88, 2158.92, 2159.00, 6409, 7042, 2162.29, 2169.85, 2154.73, 13451
2016/9/9, 08:36:47.1, 2158.50, 2160.50, 2158.25, 2159.00, 13196, 5000, 2159.06, 2159.25, 2159.38, 6917, 6279, 2161.69, 2169.00, 2154.38, 13196
2016/9/9, 08:56:02.20, 2159.00, 2159.50, 2157.50, 2159.25, 15046, 5000, 2158.81, 2158.75, 2158.50, 8247, 6799, 2161.28, 2168.32, 2154.25, 15046
2016/9/9, 09:08:34.0, 2159.25, 2160.00, 2157.50, 2157.75, 16006, 5000, 2158.63, 2158.42, 2158.75, 8348, 7658, 2160.74, 2167.63, 2153.85, 16006
2016/9/9, 09:28:55.21, 2157.75, 2158.00, 2156.75, 2157.00, 17756, 5000, 2157.38, 2157.25, 2157.38, 9437, 8319, 2160.21, 2166.69, 2153.72, 17756
2016/9/9, 09:30:05.326, 2157.00, 2157.50, 2156.25, 2156.75, 17975, 5000, 2156.88, 2156.83, 2156.88, 9469, 8506, 2159.75, 2165.86, 2153.63, 17975
2016/9/9, 09:31:16.35, 2156.75, 2157.25, 2155.50, 2155.75, 17137, 5000, 2156.31, 2156.17, 2156.38, 8850, 8287, 2159.25, 2165.14, 2153.35, 17137
2016/9/9, 09:32:33.25, 2155.75, 2157.00, 2155.50, 2156.00, 16213, 5000, 2156.06, 2156.17, 2156.25, 7379, 8834, 2158.86, 2164.51, 2153.22, 16213
2016/9/9, 09:33:54.73, 2156.00, 2157.25, 2155.25, 2155.25, 15047, 5000, 2155.94, 2155.92, 2156.25, 8061, 6986, 2158.46, 2163.99, 2152.93, 15047
2016/9/9, 09:35:32.90, 2155.25, 2155.50, 2154.50, 2155.25, 15360, 5000, 2155.13, 2155.08, 2155.00, 7525, 7835, 2158.12, 2163.33, 2152.92, 15360
2016/9/9, 09:37:08.104, 2155.25, 2156.50, 2155.00, 2155.25, 14319, 5000, 2155.50, 2155.58, 2155.75, 6318, 8001, 2157.84, 2162.86, 2152.82, 14319
2016/9/9, 09:39:29.8, 2155.25, 2155.50, 2154.00, 2154.50, 15014, 5000, 2154.81, 2154.67, 2154.75, 7884, 7130, 2157.52, 2162.38, 2152.66, 15014
2016/9/9, 09:41:04.57, 2154.50, 2155.75, 2154.25, 2155.00, 14746, 5000, 2154.88, 2155.00, 2155.00, 6372, 8374, 2157.28, 2161.99, 2152.57, 14746
2016/9/9, 09:42:56.15, 2155.00, 2156.50, 2154.75, 2155.75, 15175, 5000, 2155.50, 2155.67, 2155.63, 7132, 8043, 2157.13, 2161.76, 2152.50, 15175
2016/9/9, 09:45:31.74, 2155.75, 2157.00, 2155.50, 2155.75, 16751, 5000, 2156.00, 2156.08, 2156.25, 7591, 9160, 2157.00, 2161.51, 2152.50, 16751
2016/9/9, 09:48:08.58, 2155.75, 2157.00, 2155.00, 2155.50, 17702, 5000, 2155.81, 2155.83, 2156.00, 8873, 8829, 2156.86, 2161.36, 2152.35, 17702
2016/9/9, 09:49:57.645, 2155.50, 2155.50, 2153.75, 2154.50, 15932, 5000, 2154.81, 2154.58, 2154.63, 9655, 6277, 2156.63, 2161.08, 2152.19, 15932
2016/9/9, 09:51:30.25, 2154.50, 2156.00, 2153.50, 2153.75, 13801, 5000, 2154.44, 2154.42, 2154.75, 7474, 6327, 2156.36, 2160.93, 2151.79, 13801
2016/9/9, 09:54:16.1, 2153.50, 2154.00, 2151.50, 2152.00, 14560, 5000, 2152.75, 2152.50, 2152.75, 7548, 7012, 2155.94, 2160.62, 2151.27, 14560
2016/9/9, 09:55:52.129, 2152.00, 2152.00, 2150.50, 2151.25, 16706, 5000, 2151.44, 2151.25, 2151.25, 8323, 8383, 2155.50, 2160.04, 2150.96, 16706
2016/9/9, 09:58:00.0, 2151.25, 2153.00, 2150.50, 2152.75, 15405, 5000, 2151.88, 2152.08, 2151.75, 6797, 8608, 2155.24, 2159.89, 2150.58, 15405
2016/9/9, 10:00:23.36, 2152.75, 2152.75, 2151.00, 2152.00, 15783, 5000, 2152.13, 2151.92, 2151.88, 8453, 7330, 2154.93, 2159.51, 2150.35, 15783
2016/9/9, 10:01:55.74, 2152.00, 2152.50, 2150.75, 2151.75, 16214, 5000, 2151.75, 2151.67, 2151.63, 8202, 8012, 2154.62, 2159.14, 2150.11, 16214
2016/9/9, 10:04:57.81, 2151.75, 2151.75, 2149.75, 2150.00, 13677, 5000, 2150.81, 2150.50, 2150.75, 7321, 6356, 2154.18, 2158.70, 2149.67, 13677
2016/9/9, 10:08:53.5, 2150.00, 2150.25, 2149.00, 2149.50, 13680, 5000, 2149.69, 2149.58, 2149.63, 6290, 7390, 2153.74, 2158.08, 2149.40, 13680
2016/9/9, 10:11:46.154, 2149.50, 2151.75, 2149.50, 2151.50, 16717, 5000, 2150.56, 2150.92, 2150.63, 7066, 9651, 2153.53, 2157.94, 2149.11, 16717
2016/9/9, 10:13:40.1, 2151.50, 2153.75, 2151.25, 2153.75, 18687, 5000, 2152.56, 2152.92, 2152.50, 6536, 12151, 2153.55, 2158.08, 2149.01, 18687
2016/9/9, 10:15:25.135, 2153.75, 2154.00, 2153.00, 2153.25, 17374, 5000, 2153.50, 2153.42, 2153.50, 9560, 7814, 2153.52, 2157.83, 2149.21, 17374
2016/9/9, 10:18:34.17, 2153.25, 2153.50, 2151.25, 2151.50, 16299, 5000, 2152.38, 2152.08, 2152.38, 9294, 7005, 2153.33, 2157.71, 2148.94, 16299
2016/9/9, 10:21:35.65, 2151.50, 2152.00, 2150.75, 2151.50, 15535, 5000, 2151.44, 2151.42, 2151.38, 7913, 7622, 2153.15, 2157.38, 2148.93, 15535
2016/9/9, 10:24:52.4, 2151.50, 2153.25, 2150.25, 2151.75, 15094, 5000, 2151.69, 2151.75, 2151.75, 6888, 8206, 2153.02, 2157.50, 2148.54, 15094
2016/9/9, 10:28:25.2, 2151.75, 2152.50, 2149.75, 2149.75, 16052, 5000, 2150.94, 2150.67, 2151.13, 8582, 7470, 2152.71, 2157.36, 2148.06, 16052
2016/9/9, 10:32:43.41, 2149.75, 2151.50, 2149.25, 2149.50, 16013, 5000, 2150.00, 2150.08, 2150.38, 7519, 8494, 2152.40, 2157.09, 2147.71, 16013
2016/9/9, 10:37:05.18, 2149.50, 2149.50, 2147.25, 2147.25, 17288, 5000, 2148.38, 2148.00, 2148.38, 9679, 7609, 2151.91, 2156.64, 2147.18, 17288
2016/9/9, 10:38:18.158, 2147.25, 2147.50, 2145.25, 2147.25, 16191, 5000, 2146.81, 2146.67, 2146.38, 8098, 8093, 2151.47, 2156.23, 2146.71, 16191
2016/9/9, 10:39:36.28, 2147.25, 2147.75, 2146.50, 2147.25, 16133, 5000, 2147.19, 2147.17, 2147.13, 7781, 8352, 2151.07, 2155.63, 2146.50, 16133
2016/9/9, 10:43:33.34, 2147.25, 2148.00, 2145.50, 2145.75, 15052, 5000, 2146.63, 2146.42, 2146.75, 7594, 7458, 2150.56, 2155.23, 2145.89, 15052
2016/9/9, 10:48:03.139, 2145.75, 2147.25, 2144.75, 2146.75, 15841, 5000, 2146.13, 2146.25, 2146.00, 8148, 7693, 2150.20, 2154.96, 2145.43, 15841
2016/9/9, 10:50:21.0, 2146.50, 2147.75, 2146.25, 2147.75, 15578, 5000, 2147.06, 2147.25, 2147.00, 6818, 8760, 2149.96, 2154.59, 2145.34, 15578
2016/9/9, 10:55:02.72, 2147.75, 2149.00, 2146.75, 2149.00, 15274, 5000, 2148.13, 2148.25, 2147.88, 6887, 8387, 2149.87, 2154.54, 2145.20, 15274
