Date,Open,High,Low,Close,Volume
2008-01-02,83.56,85.14,83.44,84.86,12291600.0
2008-01-03,84.87,85.94,84.6,85.57,9553800.0
2008-01-04,85.34,85.55,84.43,85.13,8402100.0
2008-01-07,85.24,85.26,84.57,84.77,6944400.0
2008-01-08,86.28,87.13,86.16,86.78,9569800.0
2008-01-09,86.56,87.2,86.3,86.55,8407900.0
2008-01-10,86.42,88.46,86.41,88.25,12011400.0
2008-01-11,88.04,88.76,87.85,88.58,6979000.0
2008-01-14,89.45,89.94,89.0,89.54,10085800.0
2008-01-15,89.6,90.35,87.91,87.99,23859700.0
2008-01-16,88.17,88.66,86.32,86.7,26919600.0
2008-01-17,87.5,87.98,86.47,86.5,13592600.0
2008-01-18,87.16,87.46,86.51,87.42,9094500.0
2008-01-22,86.14,88.44,85.77,88.17,20680600.0
2008-01-23,87.16,88.67,86.73,87.89,14283600.0
2008-01-24,89.72,90.25,89.13,90.08,10627400.0
2008-01-25,90.93,91.08,89.5,90.3,9703900.0
2008-01-28,90.96,91.89,90.75,91.75,8533400.0
2008-01-29,91.36,91.72,90.81,91.15,9090200.0
2008-01-30,90.71,92.58,90.45,92.06,14372500.0
2008-01-31,90.92,91.66,90.74,91.4,7791400.0
2008-02-01,91.75,91.87,89.22,89.35,19635600.0
2008-02-04,88.51,89.52,88.05,89.1,10285000.0
2008-02-05,87.9,88.69,87.3,87.68,11170100.0
2008-02-06,89.0,89.65,88.75,88.95,8787300.0
2008-02-07,88.95,89.94,88.81,89.85,8972900.0
2008-02-08,90.0,91.0,89.99,91.0,9128200.0
2008-02-11,91.04,91.46,90.44,91.33,6832100.0
2008-02-12,90.83,91.4,89.1,89.33,10076300.0
2008-02-13,88.88,89.99,88.67,89.44,10040000.0
2008-02-14,89.37,90.11,89.35,89.71,6882800.0
2008-02-15,90.3,90.32,88.63,89.15,5586100.0
2008-02-19,91.23,91.94,90.98,91.58,8373500.0
2008-02-20,90.84,93.31,90.75,93.24,10633500.0
2008-02-21,93.44,94.22,93.02,93.25,12702000.0
2008-02-22,93.56,93.72,92.35,93.39,7576900.0
2008-02-25,93.71,93.71,92.11,92.74,11954400.0
2008-02-26,92.43,93.97,92.18,93.71,8243300.0
2008-02-27,94.56,94.94,93.97,94.78,9287100.0
2008-02-28,94.92,96.08,94.47,95.99,11211200.0
2008-02-29,95.82,96.24,95.22,96.18,9348200.0
2008-03-03,97.52,97.74,96.68,97.24,11486600.0
2008-03-04,97.28,97.45,94.39,95.18,21034500.0
2008-03-05,96.1,98.15,95.93,97.72,15356800.0
2008-03-06,96.98,97.29,95.26,96.5,18543600.0
2008-03-07,96.6,96.68,95.72,96.09,10067000.0
2008-03-10,95.0,96.34,94.88,95.87,10870900.0
2008-03-11,96.52,96.98,95.19,95.99,14346300.0
2008-03-12,96.58,97.38,96.24,97.01,8179800.0
2008-03-13,98.5,98.73,97.73,98.34,14682700.0
2008-03-14,98.03,99.53,98.01,98.71,17565000.0
2008-03-17,99.32,100.44,98.0,99.17,26508400.0
2008-03-18,99.35,99.51,96.35,96.5,20957200.0
2008-03-19,95.65,96.0,92.5,93.04,37527600.0
2008-03-20,90.73,91.65,89.8,89.91,26975900.0
2008-03-24,90.65,91.51,89.78,90.1,14325700.0
2008-03-25,91.91,92.79,91.28,92.73,15843600.0
2008-03-26,93.11,94.0,93.06,93.8,11061100.0
2008-03-27,93.51,94.09,92.95,93.46,7568000.0
2008-03-28,91.96,92.45,91.11,91.88,8786500.0
2008-03-31,92.56,92.65,89.96,90.41,11166000.0
2008-04-01,87.86,88.31,86.05,86.86,23677200.0
2008-04-02,87.28,89.76,87.22,89.27,13547200.0
2008-04-03,88.59,89.75,87.64,89.42,9326200.0
2008-04-04,89.48,90.34,89.31,90.25,6629100.0
2008-04-07,90.73,91.75,90.6,91.17,8197900.0
2008-04-08,90.04,90.49,89.72,90.35,4852200.0
2008-04-09,90.3,92.37,90.24,92.29,10581500.0
2008-04-10,92.32,92.56,90.97,91.77,7759500.0
2008-04-11,91.41,91.83,90.55,91.3,6549100.0
2008-04-14,91.32,91.98,91.06,91.11,4705400.0
2008-04-15,91.73,91.91,91.38,91.66,6636700.0
2008-04-16,93.19,93.71,93.01,93.27,8472000.0
2008-04-17,93.31,93.51,92.48,92.56,6876300.0
2008-04-18,89.72,90.7,88.96,90.62,11391800.0
2008-04-21,90.79,90.87,89.89,90.25,11927500.0
2008-04-22,90.42,91.35,90.12,90.27,14046400.0
2008-04-23,89.0,89.55,88.44,89.22,18170400.0
2008-04-24,88.26,89.91,87.1,87.22,22849900.0
2008-04-25,88.33,88.42,87.19,87.27,11182500.0
2008-04-28,87.88,88.4,87.67,87.69,6769100.0
2008-04-29,86.73,86.9,85.54,85.81,14686000.0
2008-04-30,86.1,86.79,85.11,86.65,17701400.0
2008-05-01,84.51,84.56,83.57,83.99,16309400.0
2008-05-02,83.96,84.79,83.96,84.58,8745400.0
2008-05-05,85.68,86.29,85.29,86.27,6991900.0
2008-05-06,86.33,87.15,86.33,86.63,10484900.0
2008-05-07,85.47,86.1,85.2,85.82,7219300.0
2008-05-08,86.76,87.4,86.42,87.24,8630200.0
2008-05-09,87.37,87.59,85.84,87.42,9927600.0
2008-05-12,86.92,87.64,86.79,86.99,4845500.0
2008-05-13,85.12,86.14,84.92,85.39,7368100.0
2008-05-14,85.73,85.81,85.1,85.2,8653800.0
2008-05-15,87.13,87.6,86.23,87.0,9438000.0
2008-05-16,88.52,89.3,88.02,89.1,11573000.0
2008-05-19,89.57,89.7,88.87,89.39,5786900.0
2008-05-20,89.61,91.17,89.56,90.9,9921400.0
2008-05-21,90.61,92.11,90.61,91.96,10876200.0
2008-05-22,91.2,91.63,90.5,90.98,8404500.0
2008-05-23,91.33,92.0,90.96,91.23,5970200.0
2008-05-27,89.84,89.87,89.16,89.36,7146600.0
2008-05-28,88.49,89.19,88.35,89.14,8104900.0
2008-05-29,86.94,87.6,86.1,86.51,12700900.0
2008-05-30,87.34,87.69,86.96,87.45,4814300.0
2008-06-02,87.47,88.55,87.44,87.96,5279500.0
2008-06-03,86.65,87.35,86.52,86.88,8397500.0
2008-06-04,87.09,87.42,86.56,86.65,7158400.0
2008-06-05,85.97,86.81,85.66,86.45,14132600.0
2008-06-06,87.79,89.06,87.69,89.06,15900900.0
2008-06-09,88.54,89.24,87.84,87.99,8749800.0
2008-06-10,86.28,86.76,85.11,85.55,13064400.0
2008-06-11,86.57,87.1,86.35,87.02,10014000.0
2008-06-12,85.19,86.07,84.83,85.6,8948300.0
2008-06-13,85.33,86.02,85.04,85.83,8107300.0
2008-06-16,88.2,88.2,86.97,87.01,5823100.0
2008-06-17,86.72,87.52,86.7,87.25,5120600.0
2008-06-18,87.66,88.41,87.13,88.28,7566900.0
2008-06-19,89.37,89.5,88.39,88.42,9085700.0
2008-06-20,88.82,89.61,88.77,88.95,9546600.0
2008-06-23,87.01,87.4,86.74,87.09,10990900.0
2008-06-24,87.3,88.24,87.24,87.47,7030100.0
2008-06-25,87.43,87.58,86.13,87.42,10692100.0
2008-06-26,89.5,90.86,89.5,90.86,16401900.0
2008-06-27,90.98,91.82,90.65,91.47,13876500.0
2008-06-30,91.89,91.9,90.53,91.4,6855600.0
2008-07-01,92.53,93.35,92.34,92.66,14683300.0
2008-07-02,92.28,93.33,92.13,93.17,11094400.0
2008-07-03,92.17,92.68,91.68,92.06,8306600.0
2008-07-07,90.57,91.65,90.16,91.23,11631400.0
2008-07-08,90.55,91.15,89.93,90.86,10740500.0
2008-07-09,90.88,91.64,90.86,91.5,11190400.0
2008-07-10,92.4,93.6,92.35,93.53,15355900.0
2008-07-11,95.03,95.5,94.26,95.16,23468400.0
2008-07-14,95.09,96.2,94.92,95.91,20141000.0
2008-07-15,96.55,97.5,95.43,96.17,28908600.0
2008-07-16,96.27,96.5,94.34,94.44,19898600.0
2008-07-17,94.7,96.51,94.07,94.22,25188600.0
2008-07-18,94.22,94.93,94.02,94.17,7707700.0
2008-07-21,94.75,95.15,94.45,95.12,7012500.0
2008-07-22,95.73,95.86,92.94,93.06,16473200.0
2008-07-23,92.64,92.79,90.44,90.57,25155400.0
2008-07-24,91.08,91.62,90.25,91.33,12597300.0
