Date,Open,High,Low,Close,Volume
2008-01-02,93.25,94.73,93.2,94.38,2950100.0
2008-01-03,94.0,94.38,93.67,94.25,1136800.0
2008-01-04,94.5,94.79,94.2,94.27,2368600.0
2008-01-07,94.18,94.78,94.03,94.68,1308400.0
2008-01-08,94.44,94.71,93.93,94.57,1566400.0
2008-01-09,94.79,95.3,94.62,94.75,2185200.0
2008-01-10,94.87,94.95,93.31,93.47,2680100.0
2008-01-11,93.52,94.28,93.4,94.2,1843800.0
2008-01-14,94.2,94.55,94.0,94.55,905500.0
2008-01-15,95.16,95.63,95.07,95.61,1352300.0
2008-01-16,95.68,95.89,94.73,94.92,3468100.0
2008-01-17,94.96,96.29,94.93,96.15,2899500.0
2008-01-18,95.55,95.77,95.22,95.49,2614900.0
2008-01-22,96.41,96.62,95.3,96.51,4369800.0
2008-01-23,97.98,98.16,95.88,96.29,7511100.0
2008-01-24,95.55,95.75,94.34,94.36,5593100.0
2008-01-25,94.19,96.0,94.13,95.95,4213200.0
2008-01-28,95.68,96.0,95.36,95.59,1581900.0
2008-01-29,95.28,95.32,94.58,94.94,3076300.0
2008-01-30,94.69,94.77,93.59,94.32,3353200.0
2008-01-31,95.3,95.43,94.63,94.99,11262400.0
2008-02-01,95.0,95.4,94.56,95.23,3245200.0
2008-02-04,94.39,94.66,94.13,94.25,1679200.0
2008-02-05,95.41,95.61,94.77,94.97,2475500.0
2008-02-06,94.63,94.85,94.36,94.68,1338400.0
2008-02-07,94.53,94.53,92.05,92.64,5415700.0
2008-02-08,93.25,93.73,93.09,93.7,2720700.0
2008-02-11,94.28,94.7,93.73,94.09,2795900.0
2008-02-12,93.32,93.65,92.96,93.53,2597300.0
2008-02-13,92.93,93.42,92.4,92.54,3550300.0
2008-02-14,91.8,92.1,90.66,91.18,7466800.0
2008-02-15,91.61,92.07,91.46,91.88,3676100.0
2008-02-19,91.14,91.7,90.64,90.95,2880000.0
2008-02-20,90.62,91.58,90.56,91.58,2540700.0
2008-02-21,92.08,92.85,92.05,92.55,4120900.0
2008-02-22,92.49,92.85,91.87,92.02,1908700.0
2008-02-25,91.95,92.14,90.65,91.08,3355600.0
2008-02-26,90.96,91.34,90.73,91.11,2603400.0
2008-02-27,91.43,91.57,90.61,91.19,2403400.0
2008-02-28,92.34,92.84,92.19,92.81,3224800.0
2008-02-29,93.65,94.46,93.52,94.23,3687400.0
2008-03-03,93.67,94.2,93.25,93.64,1988900.0
2008-03-04,93.94,94.12,92.53,92.73,3400300.0
2008-03-05,93.06,93.06,91.5,91.62,3845400.0
2008-03-06,91.82,92.44,91.67,92.11,1331800.0
2008-03-07,93.29,93.35,91.74,92.23,3581700.0
2008-03-10,92.71,94.13,92.61,93.59,3561900.0
2008-03-11,93.0,93.03,92.21,92.79,3082900.0
2008-03-12,93.13,94.68,92.97,94.58,4723600.0
2008-03-13,95.03,95.19,93.26,93.84,5726800.0
2008-03-14,94.62,95.81,94.62,95.0,5990800.0
2008-03-17,95.59,96.31,95.31,95.73,3322200.0
2008-03-18,95.3,96.16,94.95,95.36,3878000.0
2008-03-19,95.12,97.47,95.12,96.94,5129900.0
2008-03-20,97.0,97.75,96.87,97.18,3875000.0
2008-03-24,96.48,96.48,95.2,95.3,5546500.0
2008-03-25,95.38,95.82,95.28,95.7,2021800.0
2008-03-26,95.78,96.2,95.23,95.3,1628500.0
2008-03-27,94.64,95.36,94.54,94.63,2371400.0
2008-03-28,95.09,95.56,94.75,95.55,1743800.0
2008-03-31,96.11,96.32,95.67,95.89,2519200.0
2008-04-01,94.81,94.85,93.78,93.93,3811600.0
2008-04-02,93.99,94.86,93.99,94.13,3768000.0
2008-04-03,94.5,94.67,94.12,94.34,2832100.0
2008-04-04,95.17,95.56,94.99,95.2,1701700.0
2008-04-07,94.62,94.78,93.9,94.7,2227200.0
2008-04-08,95.18,95.24,94.26,94.37,1159200.0
2008-04-09,94.56,95.64,94.55,95.35,2876200.0
