Date,Open,High,Low,Close,Volume
2008-01-02,53.08,53.32,52.68,52.92,14792900.0
2008-01-03,53.0,53.24,52.88,53.12,18319800.0
2008-01-04,52.52,52.68,51.4,51.76,23575200.0
2008-01-07,51.64,51.76,51.28,51.44,15488800.0
2008-01-08,52.0,52.2,51.32,51.32,35840600.0
2008-01-09,52.32,52.44,51.68,52.44,20784100.0
2008-01-10,51.48,52.28,51.44,52.0,22072300.0
2008-01-11,51.32,51.4,50.88,51.12,29951300.0
2008-01-14,51.76,51.88,51.4,51.76,16421700.0
2008-01-15,50.68,50.8,49.76,50.32,38368700.0
2008-01-16,49.48,49.76,48.88,49.4,35834800.0
2008-01-17,49.6,49.92,48.6,48.72,34650600.0
2008-01-18,49.84,50.12,49.04,50.0,32347600.0
2008-01-22,47.08,48.72,46.8,48.16,43347200.0
2008-01-23,46.88,48.36,46.4,48.32,58145100.0
2008-01-24,48.96,49.2,48.56,49.12,19785900.0
2008-01-25,50.64,50.76,49.44,49.88,33127200.0
2008-01-28,49.2,49.92,48.84,49.6,25567500.0
2008-01-29,50.16,50.44,50.04,50.44,17784500.0
2008-01-30,49.72,50.92,49.64,50.2,18053200.0
2008-01-31,50.08,51.2,49.96,50.88,31538500.0
2008-02-01,51.16,51.44,51.0,51.32,22694700.0
2008-02-04,51.2,51.52,51.0,51.16,14648300.0
2008-02-05,50.32,50.4,49.36,49.44,25963400.0
2008-02-06,49.4,49.48,48.8,48.8,21154200.0
2008-02-07,48.76,49.36,48.64,49.08,30635100.0
2008-02-08,48.36,48.48,47.64,47.84,17571400.0
2008-02-11,48.32,48.56,47.84,48.32,15475100.0
2008-02-12,48.88,49.28,48.68,49.04,14643000.0
2008-02-13,48.64,48.84,48.36,48.68,17765000.0
2008-02-14,49.88,49.92,49.12,49.16,19434700.0
2008-02-15,49.6,49.76,49.08,49.76,14946000.0
2008-02-19,50.72,50.84,50.08,50.24,28586300.0
2008-02-20,48.8,49.48,48.72,49.2,22511300.0
2008-02-21,49.96,50.2,49.44,49.56,13925800.0
2008-02-22,49.88,50.04,49.12,49.96,25628500.0
2008-02-25,50.48,51.08,50.24,51.0,20284600.0
2008-02-26,50.84,51.68,50.72,51.56,15075800.0
2008-02-27,51.24,51.76,51.08,51.28,40384800.0
2008-02-28,51.04,51.12,50.68,50.72,16088600.0
2008-02-29,50.48,50.52,50.04,50.12,29299700.0
2008-03-03,49.92,50.08,49.64,50.08,29020000.0
2008-03-04,49.0,49.32,48.4,48.92,30409500.0
2008-03-05,49.32,49.72,49.0,49.2,29248500.0
2008-03-06,49.44,49.56,48.72,48.76,16880400.0
2008-03-07,48.4,48.64,48.04,48.04,20074800.0
2008-03-10,48.4,48.52,47.8,47.84,20967500.0
2008-03-11,48.96,49.36,48.44,49.24,25506200.0
2008-03-12,49.52,49.72,49.16,49.24,15491200.0
2008-03-13,48.32,49.68,48.04,49.4,63435000.0
2008-03-14,48.6,48.88,46.12,46.12,40725000.0
2008-03-17,46.92,47.92,46.84,47.44,43207800.0
2008-03-18,48.28,48.96,48.16,48.8,33887400.0
2008-03-19,48.56,48.8,47.32,47.32,17028300.0
2008-03-20,47.44,48.52,47.04,48.2,23280500.0
2008-03-24,49.4,49.76,49.32,49.68,16081100.0
2008-03-25,49.92,50.4,49.68,50.2,25124600.0
2008-03-26,50.28,50.36,49.68,49.8,25949900.0
2008-03-27,50.16,50.24,49.64,49.64,14341400.0
2008-03-28,50.0,50.44,49.84,49.84,22348000.0
2008-03-31,49.36,49.8,49.32,49.48,13839300.0
2008-04-01,50.36,50.92,50.28,50.92,15415700.0
2008-04-02,50.88,51.12,50.68,50.84,16838900.0
2008-04-03,50.96,51.36,50.92,51.08,19419500.0
2008-04-04,51.2,51.52,50.92,51.12,13463200.0
2008-04-07,51.8,51.8,51.4,51.48,12997400.0
2008-04-08,50.56,50.84,50.56,50.72,9433600.0
2008-04-09,50.2,50.28,49.88,49.96,22778300.0
2008-04-10,50.08,50.36,49.8,49.8,23101000.0
2008-04-11,50.16,50.48,49.92,50.12,26393700.0
2008-04-14,49.92,50.16,49.76,49.8,13564400.0
2008-04-15,50.16,50.24,49.76,50.16,10320000.0
2008-04-16,51.16,51.76,51.16,51.76,23773900.0
2008-04-17,51.08,51.4,50.88,51.0,32073800.0
2008-04-18,51.76,52.4,51.6,52.4,20574300.0
2008-04-21,51.88,52.28,51.8,52.24,11569600.0
2008-04-22,51.48,51.56,51.16,51.24,17370400.0
2008-04-23,51.48,51.88,51.28,51.8,11540700.0
2008-04-24,51.4,51.76,50.96,51.4,19616200.0
2008-04-25,52.4,52.56,52.12,52.4,19828600.0
2008-04-28,52.84,53.48,52.76,53.36,30797600.0
2008-04-29,53.2,53.36,52.8,52.88,21179200.0
2008-04-30,52.96,53.52,52.84,53.12,18950300.0
2008-05-01,52.76,53.6,52.72,53.6,18230200.0
2008-05-02,53.76,53.84,53.2,53.48,11996200.0
2008-05-05,53.32,53.68,53.24,53.56,8598000.0
2008-05-06,53.28,53.88,53.24,53.8,12696600.0
2008-05-07,53.88,54.04,53.04,53.12,41447300.0
2008-05-08,53.36,53.56,53.08,53.36,15912600.0
2008-05-09,52.4,52.72,52.36,52.52,19954600.0
2008-05-12,52.4,52.76,52.4,52.72,10420500.0
2008-05-13,52.96,52.96,52.44,52.76,25684300.0
2008-05-14,53.12,53.48,53.12,53.24,27475800.0
2008-05-15,53.84,54.32,53.68,54.28,21516300.0
2008-05-16,54.2,54.64,54.16,54.48,13548700.0
2008-05-19,54.64,54.88,54.36,54.4,20255200.0
2008-05-20,54.28,54.32,53.88,53.92,20646300.0
2008-05-21,53.64,53.76,52.92,52.96,22624500.0
2008-05-22,53.76,53.92,53.48,53.72,14894900.0
2008-05-23,53.72,53.76,53.04,53.28,16865500.0
2008-05-27,53.08,53.44,52.84,53.44,18979800.0
2008-05-28,52.76,52.92,52.48,52.84,26991800.0
2008-05-29,52.96,53.56,52.92,53.44,26153200.0
2008-05-30,54.08,54.36,54.04,54.16,23226200.0
2008-06-02,54.52,54.52,54.08,54.28,17025400.0
2008-06-03,54.56,54.72,54.0,54.24,15071000.0
2008-06-04,54.56,55.16,54.52,54.88,24927500.0
2008-06-05,54.52,55.32,54.52,55.32,19232400.0
2008-06-06,54.28,54.44,53.36,53.36,27996300.0
2008-06-09,53.6,53.8,53.2,53.44,16354800.0
2008-06-10,52.2,52.56,52.16,52.28,20411300.0
2008-06-11,52.28,52.56,51.48,51.52,24027100.0
