Date,Open,High,Low,Close,Volume
2008-01-02,82.0,82.1,80.11,80.95,15429200.0
2008-01-03,81.01,81.69,80.61,80.61,8064500.0
2008-01-04,79.5,79.61,77.18,78.0,13878000.0
2008-01-07,77.91,78.4,75.35,77.26,16180100.0
2008-01-08,78.95,80.32,76.95,77.25,16632600.0
2008-01-09,78.06,80.55,77.42,80.47,18529800.0
2008-01-10,79.81,82.28,79.18,81.52,21412100.0
2008-01-11,80.25,80.82,78.59,79.13,14910200.0
2008-01-14,80.48,80.58,79.2,79.85,9262100.0
2008-01-15,78.45,78.63,75.66,76.18,19776100.0
2008-01-16,75.11,75.75,71.65,72.78,25293200.0
2008-01-17,74.31,74.48,68.95,69.75,29488200.0
2008-01-18,71.61,72.08,68.63,70.84,22188100.0
2008-01-22,65.36,70.28,65.01,69.59,29273000.0
2008-01-23,66.11,69.91,64.0,69.26,26904700.0
2008-01-24,69.87,72.64,69.87,71.85,19010200.0
2008-01-25,73.78,74.74,70.89,73.7,18012900.0
2008-01-28,71.25,74.23,70.38,73.88,18967700.0
2008-01-29,75.24,75.33,73.8,74.9,13995000.0
2008-01-30,74.14,77.38,73.52,74.6,18514400.0
2008-01-31,73.0,76.72,72.51,76.49,18356200.0
2008-02-01,76.75,78.33,76.52,77.95,17810200.0
2008-02-04,78.35,78.46,77.43,78.29,10561900.0
2008-02-05,76.2,76.75,73.3,73.87,18114200.0
2008-02-06,74.31,75.66,72.94,73.79,18702100.0
2008-02-07,74.09,75.99,72.1,75.39,18043900.0
2008-02-08,74.66,75.81,74.38,75.11,13644200.0
2008-02-11,75.78,77.99,75.19,77.76,13341700.0
2008-02-12,79.16,81.04,77.75,78.7,21728500.0
2008-02-13,79.82,80.4,78.94,80.36,12955800.0
2008-02-14,80.79,80.88,78.47,78.65,14270500.0
2008-02-15,77.98,78.7,77.04,78.7,12094300.0
2008-02-19,82.0,82.25,80.15,80.63,14696300.0
2008-02-20,80.01,83.52,79.43,83.26,14686400.0
2008-02-21,84.65,84.9,82.69,83.2,16370300.0
2008-02-22,84.68,84.68,82.32,84.39,14575600.0
2008-02-25,84.2,85.39,83.29,85.0,14274700.0
2008-02-26,84.54,86.81,84.12,86.52,13661600.0
2008-02-27,86.21,88.54,86.0,88.23,17909100.0
2008-02-28,87.75,88.77,87.44,88.17,13273000.0
2008-02-29,86.8,86.93,83.15,83.53,21531400.0
2008-03-03,83.28,85.98,82.92,85.76,14833900.0
2008-03-04,85.02,85.56,81.66,83.82,18877500.0
2008-03-05,84.81,86.23,84.17,86.2,16905900.0
2008-03-06,85.83,85.95,82.21,82.34,18588100.0
2008-03-07,80.96,82.77,80.46,80.81,18916100.0
2008-03-10,80.92,80.98,77.7,78.1,20764900.0
2008-03-11,80.82,85.29,78.75,82.25,19477600.0
2008-03-12,82.64,83.73,81.78,82.42,16116900.0
2008-03-13,79.93,82.17,78.15,81.55,23649100.0
2008-03-14,82.97,83.19,78.43,80.14,20810100.0
2008-03-17,76.32,79.0,75.52,77.0,27636300.0
2008-03-18,79.34,81.09,78.53,80.86,18069500.0
2008-03-19,81.25,81.27,74.51,74.82,27417700.0
2008-03-20,73.7,75.08,72.11,75.0,21116000.0
2008-03-24,75.7,77.59,74.96,75.59,16885200.0
2008-03-25,77.0,78.52,76.4,78.33,16501100.0
2008-03-26,79.22,79.64,77.36,79.23,13990300.0
2008-03-27,79.87,79.99,77.38,77.73,12652500.0
2008-03-28,77.54,77.69,76.45,76.87,13652400.0
2008-03-31,76.49,77.83,76.2,77.03,9703900.0
2008-04-01,78.0,79.97,77.48,79.88,13167400.0
2008-04-02,80.76,82.3,79.94,81.4,15640000.0
2008-04-03,80.72,83.76,80.72,82.72,14489800.0
2008-04-04,82.79,84.24,82.63,83.7,13710600.0
2008-04-07,85.0,85.88,83.34,83.69,10201900.0
2008-04-08,82.9,85.12,82.55,84.6,10906800.0
2008-04-09,84.94,85.39,83.24,83.95,10706100.0
2008-04-10,83.95,84.64,82.62,84.08,9394600.0
2008-04-11,83.09,83.75,82.28,82.66,8391800.0
2008-04-14,82.16,84.38,81.36,83.14,12625000.0
2008-04-15,84.04,84.46,83.34,84.15,8194100.0
2008-04-16,85.74,87.19,85.55,86.93,14150100.0
2008-04-17,86.44,88.28,86.21,87.79,14112200.0
2008-04-18,87.8,88.56,86.88,87.77,12362400.0
2008-04-21,88.05,89.99,87.56,89.42,8315000.0
2008-04-22,88.84,90.44,88.59,89.21,11464800.0
2008-04-23,89.12,89.5,88.12,88.65,10554500.0
2008-04-24,88.25,88.4,86.2,86.39,12143600.0
2008-04-25,87.09,87.66,86.05,87.6,9145900.0
2008-04-28,88.75,88.81,87.1,87.13,8244900.0
2008-04-29,86.39,86.39,83.53,83.93,11494100.0
2008-04-30,85.0,93.51,84.74,90.32,29865600.0
2008-05-01,91.49,93.8,90.13,91.82,20571300.0
2008-05-02,95.21,95.52,92.75,93.4,17123000.0
2008-05-05,93.42,94.32,92.92,93.85,10932800.0
2008-05-06,93.22,94.4,92.83,94.4,10939700.0
2008-05-07,94.67,94.72,90.93,91.42,14220800.0
2008-05-08,92.0,92.92,91.05,92.4,10583700.0
2008-05-09,91.52,92.88,90.84,92.88,8162600.0
2008-05-12,93.4,94.89,92.06,94.71,9439300.0
2008-05-13,95.51,95.83,94.47,95.02,11097600.0
2008-05-14,95.27,96.03,94.15,94.25,8834700.0
2008-05-15,95.1,97.0,94.77,96.83,10369800.0
2008-05-16,98.13,99.69,98.06,99.54,11964900.0
2008-05-19,100.17,102.01,99.07,100.03,14933500.0
2008-05-20,99.2,100.57,98.13,100.47,14567900.0
2008-05-21,100.9,101.49,98.42,98.75,14496000.0
2008-05-22,99.2,99.62,97.16,97.48,9619700.0
2008-05-23,98.26,98.44,95.97,97.45,10893200.0
2008-05-27,97.07,97.63,94.99,95.76,11462600.0
2008-05-28,96.47,99.5,95.03,99.21,12813600.0
2008-05-29,99.47,102.21,97.42,97.58,18845200.0
2008-05-30,99.3,100.16,98.29,99.24,10481700.0
2008-06-02,98.25,99.48,97.5,98.43,10978300.0
2008-06-03,98.5,98.5,95.16,95.6,14108600.0
2008-06-04,94.64,94.88,93.01,93.1,16950400.0
2008-06-05,94.31,97.35,94.11,97.32,12947500.0
2008-06-06,97.35,97.55,94.7,94.8,12498300.0
2008-06-09,95.06,95.51,93.36,94.68,8671600.0
2008-06-10,92.75,93.04,90.13,91.45,17298300.0
2008-06-11,91.33,91.81,89.88,90.01,13435900.0
2008-06-12,90.58,91.86,90.3,90.83,11488100.0
2008-06-13,91.44,92.0,90.28,90.82,11190300.0
2008-06-16,90.64,92.45,90.56,91.76,9890600.0
2008-06-17,93.69,95.04,92.92,94.0,8866400.0
2008-06-18,93.69,93.75,91.88,92.89,13407000.0
2008-06-19,93.0,93.06,91.36,92.0,14888800.0
2008-06-20,91.7,91.78,88.86,89.1,18772700.0
2008-06-23,89.17,89.93,88.47,89.15,13909100.0
2008-06-24,88.94,90.32,88.04,88.92,15296000.0
2008-06-25,88.87,92.29,88.67,91.46,21733500.0
2008-06-26,89.65,90.32,88.05,88.44,17657500.0
2008-06-27,88.1,89.27,87.84,88.62,13154400.0
2008-06-30,89.75,90.58,89.29,89.29,11818700.0
2008-07-01,87.39,88.74,86.36,87.78,15968200.0
2008-07-02,88.83,88.97,83.83,83.96,18651600.0
2008-07-03,84.45,84.95,81.94,83.06,13802700.0
2008-07-07,82.92,84.1,81.25,81.85,18971100.0
2008-07-08,81.23,81.89,79.43,81.76,19954000.0
2008-07-09,82.21,82.24,78.96,79.31,13949700.0
2008-07-10,79.31,82.36,79.03,82.15,21179200.0
2008-07-11,81.5,83.36,80.68,81.64,18143500.0
2008-07-14,83.45,83.5,82.35,82.58,12984600.0
2008-07-15,81.32,83.63,78.85,82.46,1942300.0
2008-07-16,82.6,83.51,81.77,83.35,13295100.0
2008-07-17,83.21,83.72,79.92,80.8,14344900.0
2008-07-18,80.8,82.33,80.03,80.92,12296600.0
2008-07-21,81.8,82.82,81.78,82.59,8911300.0
2008-07-22,81.57,81.8,80.53,81.43,9336700.0
2008-07-23,80.97,81.59,80.1,80.2,11535700.0
2008-07-24,80.51,80.72,77.37,77.5,12862800.0
2008-07-25,76.7,78.15,76.33,77.4,9349600.0
2008-07-28,78.14,78.71,76.94,77.14,8065000.0
2008-07-29,78.2,78.63,77.63,78.55,8222900.0
2008-07-30,80.58,82.6,80.24,82.43,12259900.0
2008-07-31,81.9,82.19,81.0,81.24,8645100.0
2008-08-01,80.99,81.17,78.68,79.08,9205600.0
2008-08-04,77.69,78.0,75.01,75.65,12467300.0
2008-08-05,75.79,77.02,74.8,75.87,11718100.0
2008-08-06,76.34,77.9,76.15,77.5,8762100.0
2008-08-07,77.23,77.47,75.25,75.91,7902100.0
2008-08-08,74.42,75.27,74.06,74.61,7013200.0
2008-08-11,74.76,74.97,71.53,72.05,14001200.0
2008-08-12,71.87,72.79,70.79,70.89,9841700.0
2008-08-13,70.28,73.06,70.2,72.45,10868900.0
2008-08-14,72.92,73.81,71.75,72.22,7437900.0
2008-08-15,71.6,71.94,69.78,70.3,9174600.0
2008-08-18,71.39,71.39,68.7,69.22,8692300.0
2008-08-19,67.72,71.2,67.66,70.53,11109500.0
2008-08-20,72.26,73.71,71.81,73.34,9167400.0
2008-08-21,74.31,75.49,73.77,74.73,8165500.0
2008-08-22,75.24,75.37,72.95,73.66,7403000.0
2008-08-25,73.69,73.73,71.49,71.74,7578600.0
2008-08-26,71.41,72.49,71.06,71.48,7761500.0
