Date,Open,High,Low,Close,Volume
2008-01-02,57.19,57.56,55.68,55.93,17074200.0
2008-01-03,55.58,56.4,55.41,55.54,13267599.0
2008-01-04,55.75,55.94,54.32,54.48,23930001.0
2008-01-07,55.73,56.21,54.64,56.06,27170001.0
2008-01-08,56.64,57.35,55.03,55.27,23310801.0
2008-01-09,57.13,58.92,56.45,58.74,32725200.0
2008-01-10,57.73,59.96,57.32,59.19,28051101.0
2008-01-11,57.49,58.04,56.61,56.61,17876301.0
2008-01-14,56.79,57.12,56.23,56.86,16355301.0
2008-01-15,54.08,54.44,52.28,52.57,37900599.0
2008-01-16,51.0,51.78,48.95,50.5,41773299.0
2008-01-17,51.75,52.47,49.41,49.62,47956500.0
2008-01-18,52.15,52.59,50.48,52.26,42624600.0
2008-01-22,45.57,49.95,44.95,47.87,69042000.0
2008-01-23,46.62,50.62,45.15,50.4,68547399.0
2008-01-24,48.62,50.32,48.52,49.92,27434499.0
2008-01-25,51.82,52.33,49.26,49.56,23982300.0
2008-01-28,49.21,50.17,48.0,50.16,21303300.0
2008-01-29,49.87,50.05,48.87,49.72,14754399.0
2008-01-30,47.47,50.08,47.22,47.4,26336301.0
2008-01-31,45.53,48.59,45.33,47.98,32921001.0
2008-02-01,48.87,50.41,48.62,50.18,24860400.0
2008-02-04,51.25,51.76,50.77,51.47,15318900.0
2008-02-05,50.04,50.35,47.82,47.91,25141401.0
2008-02-06,48.09,48.86,45.89,46.17,25060701.0
2008-02-07,45.96,48.05,45.43,47.98,25446801.0
2008-02-08,47.14,47.89,46.6,47.17,15421899.0
2008-02-11,46.45,46.97,45.55,46.8,16430301.0
2008-02-12,47.78,48.56,47.05,48.09,19803900.0
2008-02-13,48.28,49.07,47.5,48.95,20549199.0
2008-02-14,49.41,49.6,47.8,47.83,23524299.0
2008-02-15,49.12,49.99,48.59,49.91,24554100.0
2008-02-19,50.92,50.95,49.67,50.23,21804501.0
2008-02-20,48.82,50.39,48.32,49.73,17406000.0
2008-02-21,49.54,49.62,47.68,47.81,24153801.0
2008-02-22,48.34,49.24,47.54,49.21,15840801.0
2008-02-25,48.12,49.48,47.66,49.31,19788000.0
2008-02-26,48.48,49.83,48.26,49.77,15429099.0
2008-02-27,49.82,51.55,49.76,51.41,23518899.0
2008-02-28,50.67,51.08,49.99,50.11,16207500.0
2008-02-29,49.97,50.05,48.32,48.36,22485000.0
2008-03-03,48.48,49.06,47.85,48.77,21258900.0
2008-03-04,47.01,47.57,45.98,46.76,33189501.0
2008-03-05,47.09,47.93,46.66,47.65,18059499.0
2008-03-06,47.39,47.52,45.38,45.45,25323999.0
2008-03-07,45.29,46.55,44.78,44.94,26121600.0
2008-03-10,45.79,45.87,44.19,44.44,29946501.0
2008-03-11,47.23,48.83,46.46,48.77,33492201.0
2008-03-12,47.41,48.34,46.37,46.66,25864299.0
2008-03-13,44.24,46.34,44.19,45.53,32128500.0
2008-03-14,45.08,45.17,42.64,42.91,50291301.0
2008-03-17,41.0,42.71,40.79,42.16,29349501.0
2008-03-18,42.69,44.46,42.6,44.29,33515001.0
2008-03-19,43.13,43.71,41.05,41.19,33855000.0
2008-03-20,40.61,42.59,39.91,42.32,30509301.0
2008-03-24,41.82,43.76,41.81,42.74,27558000.0
2008-03-25,43.8,44.9,43.43,44.85,29083800.0
2008-03-26,44.29,44.52,43.58,43.74,22682001.0
2008-03-27,44.68,45.18,43.94,44.12,25281099.0
2008-03-28,45.84,45.94,45.09,45.58,21885300.0
2008-03-31,44.89,45.51,44.62,45.0,13257099.0
2008-04-01,45.95,51.14,45.88,48.36,36376299.0
2008-04-02,48.05,48.2,47.16,47.34,25986201.0
2008-04-03,48.25,49.51,47.71,49.3,30263700.0
2008-04-04,48.9,49.87,48.32,48.82,29952600.0
2008-04-07,49.91,50.46,49.32,49.95,24420699.0
2008-04-08,48.88,49.28,48.55,48.63,23302101.0
2008-04-09,48.07,48.11,46.9,46.92,30859500.0
2008-04-10,47.58,48.6,47.31,48.5,26844099.0
2008-04-11,48.11,48.82,47.34,47.59,29090700.0
2008-04-14,47.14,47.29,46.62,46.77,19276899.0
2008-04-15,47.49,47.6,46.87,47.49,14991600.0
2008-04-16,47.82,49.33,47.78,49.14,27834201.0
2008-04-17,48.48,48.7,48.12,48.28,25623699.0
2008-04-18,49.08,49.26,48.53,49.07,16326699.0
2008-04-21,48.8,49.91,48.56,49.75,15236001.0
2008-04-22,50.03,50.31,48.97,49.52,18463701.0
2008-04-23,51.4,53.58,51.32,52.48,42602400.0
2008-04-24,53.42,54.2,51.92,53.4,27159201.0
2008-04-25,53.04,53.1,52.04,52.68,16972701.0
2008-04-28,52.59,53.08,52.38,52.4,11810199.0
2008-04-29,52.8,52.9,52.11,52.44,12631500.0
