Date,Open,High,Low,Close,Volume
2009-11-11,104.0,108.0,100.2,101.76,338994.0
2009-11-12,102.2,102.36,98.88,99.36,919334.0
2009-11-13,100.0,102.0,98.6,101.72,457514.0
2009-11-16,104.0,107.24,104.0,106.0,830498.0
2009-11-17,105.48,107.72,104.2,107.72,744324.0
2009-11-18,109.08,110.64,107.0,108.2,915916.0
2009-11-19,107.32,108.07,103.08,107.68,868970.0
2009-11-20,105.92,107.28,104.6,107.04,560622.0
2009-11-23,111.6,113.28,109.44,110.4,776336.0
2009-11-24,110.88,111.92,107.6,108.88,688570.0
2009-11-25,111.56,113.56,110.6,113.2,670870.0
2009-11-26,,,,113.2,0.0
2009-11-27,105.8,110.68,103.52,108.36,753354.0
2009-11-30,107.96,109.88,107.0,108.9,616926.0
2009-12-01,112.56,115.64,112.0,114.48,758460.0
2009-12-02,116.56,118.76,116.04,117.31,676755.0
2009-12-03,116.4,116.66,113.4,114.04,768856.0
2009-12-04,111.52,111.92,105.68,108.56,1147150.0
2009-12-07,105.0,109.04,104.04,106.6,667737.0
2009-12-08,104.6,105.12,101.36,101.92,781604.0
2009-12-09,102.88,105.96,101.64,104.32,777455.0
2009-12-10,105.52,106.0,103.44,104.56,374436.0
2009-12-11,105.04,105.44,101.32,102.1,394593.0
2009-12-14,103.04,105.24,101.74,105.2,361446.0
2009-12-15,104.4,105.28,103.08,103.56,535757.0
2009-12-16,104.92,106.24,104.4,105.24,386558.0
2009-12-17,102.44,102.92,99.24,99.32,514027.0
2009-12-18,100.12,101.2,98.4,100.28,379342.0
2009-12-21,101.48,101.56,97.92,98.64,396296.0
2009-12-22,99.36,99.8,97.44,99.28,334052.0
2009-12-23,100.36,104.28,100.0,103.76,457953.0
2009-12-24,105.72,105.72,104.0,104.52,161447.0
2009-12-25,,,,104.52,0.0
2009-12-28,106.32,106.32,103.76,104.4,160360.0
2009-12-29,105.08,105.48,103.72,103.8,163331.0
2009-12-30,102.6,102.96,101.4,102.16,152342.0
2009-12-31,,,,102.96,0.0
2010-01-01,,,,102.96,0.0
2010-01-04,106.84,107.72,106.2,107.12,368511.0
2010-01-05,108.0,109.28,106.92,108.28,502752.0
2010-01-06,110.04,112.12,109.4,111.32,379892.0
2010-01-07,111.08,111.8,109.36,111.04,354802.0
2010-01-08,111.88,113.0,109.88,112.84,228401.0
2010-01-11,116.88,117.0,113.68,113.92,510957.0
2010-01-12,112.64,113.12,108.72,108.76,484316.0
2010-01-13,110.32,111.12,107.84,110.72,419275.0
2010-01-14,111.0,111.2,109.24,110.48,274880.0
2010-01-15,,,,109.04,0.0
2010-01-18,,,,109.04,0.0
2010-01-19,108.84,109.48,108.04,108.8,351021.0
2010-01-20,105.48,106.08,102.56,103.08,530298.0
2010-01-21,102.64,102.64,97.12,97.12,723711.0
2010-01-22,96.48,98.4,94.12,96.4,774664.0
2010-01-25,97.04,98.0,95.8,95.8,337536.0
2010-01-26,94.12,97.4,92.92,95.32,448954.0
2010-01-27,95.28,95.72,91.96,93.0,571424.0
2010-01-28,94.36,94.84,90.04,91.72,550285.0
2010-01-29,91.6,92.44,88.2,88.68,474836.0
2010-02-01,89.8,95.2,89.52,95.2,612428.0
2010-02-02,96.6,96.84,94.96,95.64,496239.0
2010-02-03,95.84,97.0,94.48,94.52,378488.0
2010-02-04,92.2,92.64,87.52,87.76,782731.0
2010-02-05,87.68,91.72,84.72,91.72,908604.0
2010-02-08,91.64,93.2,88.88,88.88,505811.0
2010-02-09,91.52,94.48,91.48,93.64,578039.0
2010-02-10,93.52,94.12,91.2,93.36,449549.0
2010-02-11,94.4,98.36,93.28,98.36,585018.0
2010-02-12,,,,97.24,0.0
2010-02-15,,,,97.24,0.0
2010-02-16,100.0,101.6,99.64,100.96,653169.0
2010-02-17,101.6,101.87,99.4,100.24,557728.0
2010-02-18,100.12,101.16,99.32,100.12,390485.0
2010-02-19,98.48,100.24,97.48,98.88,455804.0
2010-02-22,99.84,99.92,97.68,97.68,225814.0
2010-02-23,96.96,97.36,93.08,93.24,389252.0
2010-02-24,93.28,94.91,92.76,93.28,329406.0
2010-02-25,91.76,95.36,90.24,95.36,559800.0
2010-02-26,95.88,96.72,94.48,96.72,352125.0
2010-03-01,97.16,98.76,96.08,98.76,270918.0
2010-03-02,99.6,102.28,99.6,100.72,519803.0
2010-03-03,102.4,103.76,101.78,102.52,597315.0
2010-03-04,102.4,102.96,100.08,101.48,296250.0
2010-03-05,102.72,103.92,102.4,103.36,262572.0
2010-03-08,103.8,104.36,101.88,102.96,262373.0
2010-03-09,101.44,103.28,101.2,102.0,270830.0
2010-03-10,103.16,103.88,100.56,101.56,357299.0
2010-03-11,101.12,103.2,100.2,103.12,226072.0
2010-03-12,103.72,104.32,102.04,103.08,271572.0
2010-03-15,103.2,103.24,101.6,102.8,198817.0
2010-03-16,104.36,106.88,104.24,106.84,623339.0
2010-03-17,107.32,107.96,106.6,106.92,363451.0
2010-03-18,107.0,107.68,104.72,106.0,324396.0
2010-03-19,105.8,106.0,102.72,104.36,386524.0
2010-03-22,101.88,103.96,101.48,103.72,294742.0
2010-03-23,103.6,105.88,102.76,105.76,367916.0
2010-03-24,103.36,103.36,100.0,100.72,559854.0
2010-03-25,101.72,102.69,98.96,99.68,530367.0
2010-03-26,100.24,102.08,99.48,102.0,397254.0
2010-03-29,103.48,104.36,102.64,103.6,233388.0
2010-03-30,104.08,104.12,101.96,102.4,136155.0
2010-03-31,103.44,103.92,102.48,102.88,191590.0
2010-04-01,,,,106.32,0.0
2010-04-02,,,,106.32,0.0
2010-04-05,107.56,109.32,107.2,109.24,374764.0
2010-04-06,109.44,110.36,108.96,109.52,397283.0
2010-04-07,109.8,112.2,109.8,111.2,795962.0
2010-04-08,111.2,111.72,110.12,111.56,340134.0
2010-04-09,112.44,114.0,111.96,113.2,548868.0
2010-04-12,113.12,114.08,111.44,111.8,462374.0
2010-04-13,111.6,111.6,108.96,110.88,328527.0
2010-04-14,112.52,113.52,111.56,113.04,311755.0
2010-04-15,112.8,113.68,111.92,112.32,215820.0
2010-04-16,110.72,111.32,106.8,108.96,685288.0
2010-04-19,107.88,108.52,106.6,108.32,398546.0
2010-04-20,110.2,111.16,109.6,109.84,259246.0
2010-04-21,110.6,111.12,109.44,110.84,341436.0
2010-04-22,109.24,111.16,108.52,111.16,249633.0
2010-04-23,110.84,114.16,109.68,114.16,432588.0
2010-04-26,113.84,114.62,112.8,113.0,347492.0
2010-04-27,111.64,114.28,110.6,112.36,600159.0
2010-04-28,113.12,115.44,111.76,114.88,805233.0
2010-04-29,115.12,116.8,114.52,116.0,443117.0
2010-04-30,116.92,118.52,116.6,116.72,726166.0
2010-05-03,117.8,118.6,115.0,115.72,450068.0
2010-05-04,114.96,115.32,107.92,110.32,1070168.0
2010-05-05,107.8,112.16,105.0,110.44,536939.0
2010-05-06,110.28,113.16,104.4,110.8,1029256.0
2010-05-07,111.08,111.84,107.64,108.68,703354.0
2010-05-10,111.12,113.52,110.4,113.08,382402.0
2010-05-11,115.08,121.12,114.56,120.96,990252.0
2010-05-12,123.44,125.12,122.08,122.4,973208.0
2010-05-13,122.44,122.96,118.4,119.52,486336.0
2010-05-14,121.08,121.32,114.08,118.28,824125.0
2010-05-17,118.32,118.72,112.8,114.88,577328.0
2010-05-18,113.44,115.48,111.88,112.52,450131.0
2010-05-19,110.72,111.12,103.4,106.84,1101610.0
2010-05-20,103.52,104.36,100.0,100.0,960100.0
2010-05-21,98.36,104.52,96.98,102.78,774612.0
2010-05-24,104.64,106.56,104.12,104.69,435351.0
2010-05-25,102.24,106.6,100.8,106.56,638390.0
2010-05-26,109.32,110.24,106.08,106.64,374018.0
2010-05-27,108.6,110.8,108.36,110.52,272975.0
2010-05-28,,,,108.6,0.0
2010-05-31,,,,108.6,0.0
2010-06-01,109.44,111.68,107.28,107.4,375647.0
2010-06-02,106.92,110.32,106.36,110.28,297596.0
2010-06-03,110.76,110.76,106.48,108.08,369053.0
2010-06-04,107.32,107.96,105.0,105.44,283344.0
2010-06-07,105.2,109.56,104.51,108.24,425359.0
2010-06-08,109.68,112.64,109.68,111.28,653410.0
2010-06-09,111.04,112.2,108.68,109.24,349384.0
2010-06-10,110.0,111.32,109.68,110.76,230569.0
2010-06-11,110.16,112.24,110.16,112.2,277803.0
2010-06-14,112.84,113.84,109.96,110.0,347012.0
2010-06-15,111.28,113.96,111.16,113.92,303625.0
2010-06-16,112.96,114.68,112.2,114.4,263696.0
2010-06-17,116.2,117.8,115.76,116.96,457690.0
2010-06-18,119.28,121.44,118.44,121.39,511490.0
2010-06-21,122.04,122.6,114.28,115.0,572374.0
2010-06-22,115.6,117.37,113.56,113.92,401105.0
2010-06-23,113.12,115.36,111.32,114.4,316472.0
2010-06-24,114.24,116.36,113.08,114.4,307292.0
2010-06-25,116.52,119.0,115.72,118.48,341059.0
2010-06-28,118.4,120.28,116.24,116.76,364007.0
2010-06-29,114.24,114.24,110.6,111.6,609444.0
2010-06-30,111.84,112.88,108.88,109.04,446656.0
2010-07-01,109.16,110.24,101.76,103.52,560801.0
2010-07-02,,,,104.84,0.0
2010-07-05,,,,104.84,0.0
2010-07-06,105.72,105.8,101.6,102.68,416628.0
2010-07-07,101.88,104.84,101.44,104.84,311742.0
2010-07-08,105.28,105.64,102.52,103.88,249453.0
2010-07-09,105.04,107.6,104.76,107.28,222868.0
2010-07-12,106.84,107.8,104.92,105.6,160999.0
2010-07-13,108.56,108.84,106.48,106.76,275184.0
2010-07-14,106.44,108.4,105.68,106.84,209795.0
2010-07-15,107.6,107.72,104.88,107.24,174286.0
2010-07-16,105.0,105.08,103.32,104.04,254717.0
2010-07-19,103.04,103.26,100.4,101.52,327965.0
2010-07-20,101.28,104.68,100.92,104.56,236803.0
2010-07-21,105.6,106.0,102.44,103.04,278307.0
2010-07-22,104.0,106.12,103.88,104.92,227313.0
2010-07-23,105.88,106.36,104.36,105.52,294876.0
2010-07-26,106.52,106.56,105.08,105.28,114848.0
2010-07-27,105.16,105.16,101.88,102.84,366302.0
2010-07-28,102.52,103.96,102.08,103.12,161680.0
2010-07-29,104.52,105.12,103.56,104.76,207163.0
2010-07-30,104.68,106.92,104.2,106.68,218455.0
2010-08-02,108.2,108.92,105.56,106.2,291559.0
2010-08-03,107.4,109.32,107.28,109.12,394267.0
2010-08-04,111.04,112.76,110.88,112.32,295486.0
2010-08-05,112.64,113.2,111.72,112.68,182022.0
2010-08-06,112.96,114.0,112.36,113.2,246018.0
2010-08-09,113.48,114.12,112.24,114.08,203071.0
2010-08-10,112.24,113.56,110.0,112.92,420175.0
2010-08-11,111.6,111.8,108.93,109.24,258067.0
2010-08-12,110.64,113.2,110.0,113.12,275343.0
2010-08-13,113.12,114.08,112.88,113.68,200439.0
2010-08-16,114.36,115.72,114.2,115.48,263896.0
2010-08-17,115.92,117.64,115.88,117.04,200526.0
2010-08-18,116.76,119.28,115.2,119.2,283787.0
2010-08-19,119.2,119.92,117.2,118.24,321375.0
2010-08-20,116.96,117.68,114.8,117.68,235270.0
2010-08-23,118.0,118.2,115.76,116.16,164607.0
2010-08-24,113.28,115.52,112.24,114.4,325565.0
2010-08-25,115.6,118.6,114.8,118.48,243193.0
2010-08-26,118.68,120.4,118.52,119.16,273990.0
2010-08-27,119.96,121.36,117.76,121.2,258894.0
2010-08-30,121.56,122.0,119.76,119.76,131868.0
2010-08-31,121.12,123.0,120.86,121.36,281586.0
2010-09-01,123.8,123.96,121.72,122.6,296695.0
2010-09-02,123.72,124.6,122.52,124.46,236938.0
2010-09-03,,,,127.96,0.0
2010-09-06,,,,127.96,0.0
2010-09-07,129.04,130.64,129.04,129.44,372472.0
2010-09-08,130.76,132.2,130.0,130.08,466538.0
2010-09-09,130.4,131.2,126.04,126.76,394228.0
2010-09-10,126.4,128.88,126.04,128.68,231608.0
2010-09-13,129.52,129.92,127.88,129.2,250453.0
2010-09-14,132.08,135.84,131.0,134.04,676878.0
2010-09-15,134.0,134.92,132.72,133.16,392850.0
2010-09-16,134.6,135.52,134.04,135.52,387628.0
2010-09-17,136.0,136.0,133.6,134.8,334294.0
2010-09-20,135.6,138.16,135.47,137.0,368650.0
2010-09-21,136.16,137.08,132.48,136.76,644156.0
2010-09-22,138.56,139.28,135.92,137.04,672139.0
2010-09-23,136.44,138.0,135.36,135.84,267148.0
2010-09-24,138.0,138.36,134.92,135.04,436092.0
2010-09-27,136.8,137.08,133.72,134.0,446057.0
2010-09-28,133.56,136.76,130.36,136.56,692231.0
2010-09-29,137.2,137.64,135.28,136.28,402464.0
2010-09-30,137.68,137.68,131.56,133.6,552546.0
2010-10-01,134.96,137.04,134.92,136.76,594481.0
2010-10-04,135.44,135.88,132.84,133.36,321148.0
2010-10-05,136.48,139.08,136.27,138.64,570772.0
2010-10-06,139.4,142.12,139.24,141.64,703262.0
2010-10-07,142.96,143.2,136.32,137.4,858360.0
2010-10-08,137.24,140.6,136.56,140.36,517498.0
2010-10-11,139.76,141.84,139.0,141.56,376907.0
2010-10-12,140.0,140.96,137.84,140.76,580441.0
2010-10-13,142.96,146.12,142.48,145.4,515199.0
2010-10-14,145.92,147.08,144.6,145.36,520863.0
2010-10-15,144.36,144.8,140.88,142.6,478899.0
2010-10-18,140.68,145.76,139.2,142.52,299238.0
2010-10-19,137.24,137.24,132.44,133.56,994929.0
2010-10-20,134.84,138.64,134.8,138.32,495182.0
2010-10-21,138.12,139.04,132.6,133.8,631278.0
2010-10-22,133.84,135.96,132.48,135.76,382230.0
2010-10-25,139.64,140.76,138.2,140.0,596940.0
2010-10-26,138.32,141.76,138.08,141.12,371386.0
2010-10-27,139.48,139.52,135.56,138.36,468850.0
2010-10-28,140.88,142.28,138.64,142.2,524081.0
2010-10-29,142.32,144.88,141.92,144.72,442780.0
2010-11-01,145.64,147.16,144.08,145.12,447897.0
2010-11-02,146.96,148.0,146.0,147.04,379276.0
2010-11-03,147.92,148.88,143.72,148.12,827865.0
2010-11-04,154.64,160.0,153.2,159.72,1335546.0
2010-11-05,159.2,164.24,158.44,162.04,1111784.0
2010-11-08,161.76,167.76,160.64,167.28,917656.0
2010-11-09,170.48,173.24,155.4,158.28,1718206.0
2010-11-10,160.12,162.6,154.6,162.24,1012930.0
2010-11-11,163.28,163.32,159.2,163.0,563889.0
2010-11-12,159.8,161.28,154.56,156.72,833275.0
2010-11-15,157.68,158.0,153.8,154.0,494768.0
2010-11-16,151.96,152.0,145.32,147.52,1490048.0
2010-11-17,148.0,153.2,147.72,151.32,677755.0
2010-11-18,155.76,157.32,154.8,155.28,731627.0
2010-11-19,154.36,156.68,152.0,156.56,475440.0
2010-11-22,155.76,159.56,155.32,159.4,498930.0
2010-11-23,158.28,159.0,156.4,158.0,558353.0
2010-11-24,,,,158.57,0.0
2010-11-26,154.44,156.28,154.0,155.6,179672.0
2010-11-29,155.08,157.84,152.44,157.52,404606.0
2010-11-30,158.28,163.28,157.6,161.8,723577.0
2010-12-01,164.32,165.72,162.4,165.08,620430.0
2010-12-02,166.04,169.44,166.04,167.48,580124.0
2010-12-03,169.0,172.0,168.44,171.83,697426.0
2010-12-06,172.12,175.88,172.12,175.76,755870.0
2010-12-07,179.24,179.44,169.28,169.52,1073046.0
2010-12-08,168.36,168.8,162.72,166.04,896756.0
2010-12-09,168.48,169.72,165.2,165.44,1253694.0
2010-12-10,164.72,166.44,161.56,166.24,862545.0
2010-12-13,170.08,170.88,167.76,168.2,782359.0
2010-12-14,169.4,171.12,167.0,168.84,642024.0
2010-12-15,168.04,168.24,163.92,164.36,560502.0
2010-12-16,164.0,164.24,160.8,162.88,779082.0
2010-12-17,162.0,167.72,162.0,167.24,794926.0
2010-12-20,167.88,168.08,163.76,167.2,486446.0
2010-12-21,167.08,168.56,165.48,168.56,515464.0
2010-12-22,168.48,168.68,162.52,162.84,587818.0
2010-12-23,,,,152.84,0.0
2010-12-27,153.36,153.36,151.2,151.76,367694.0
2010-12-28,155.64,159.96,154.48,159.92,553670.0
2010-12-29,160.52,160.96,158.43,158.8,416094.0
2010-12-30,159.44,160.04,156.6,157.16,322830.0
2010-12-31,158.8,161.04,158.08,159.56,427329.0
2011-01-03,161.04,163.2,159.32,159.88,591724.0
2011-01-04,157.48,159.08,148.84,151.98,1332844.0
2011-01-05,150.24,151.44,147.0,150.68,900600.0
2011-01-06,150.68,150.72,144.48,144.48,829507.0
2011-01-07,144.72,147.2,143.08,144.72,711901.0
2011-01-10,144.92,147.28,142.84,146.8,588064.0
2011-01-11,149.16,151.84,148.48,151.4,798543.0
2011-01-12,152.36,153.0,150.08,151.72,596113.0
2011-01-13,151.88,152.52,145.08,145.8,681575.0
2011-01-14,,,,142.6,0.0
2011-01-18,143.76,146.2,143.48,144.84,491665.0
2011-01-19,146.64,146.8,142.28,143.04,450281.0
2011-01-20,139.28,139.48,134.76,138.28,1221961.0
2011-01-21,138.72,139.0,135.28,135.64,660785.0
2011-01-24,135.28,137.56,132.92,134.0,601099.0
2011-01-25,132.64,133.27,130.04,133.24,1256584.0
2011-01-26,133.0,139.92,132.48,139.48,1016185.0
2011-01-27,139.56,139.88,134.88,135.68,883637.0
2011-01-28,134.52,140.84,134.4,138.52,1337450.0
2011-01-31,138.72,139.04,136.3,136.4,540066.0
2011-02-01,138.96,142.72,138.08,142.48,912114.0
2011-02-02,142.36,142.36,139.72,142.0,181387.0
2011-02-03,143.6,150.44,141.4,150.0,449946.0
2011-02-04,151.24,152.08,148.72,150.0,229996.0
2011-02-07,150.76,152.28,149.6,150.12,107782.0
2011-02-08,152.36,154.0,151.36,153.08,235522.0
2011-02-09,153.4,153.8,147.96,148.4,318881.0
2011-02-10,146.6,148.28,144.4,147.32,207248.0
2011-02-11,147.28,149.52,146.04,146.2,190653.0
2011-02-14,147.6,149.64,147.6,149.28,123908.0
2011-02-15,151.72,152.56,151.08,151.76,187633.0
2011-02-16,152.4,154.24,150.4,153.96,244396.0
2011-02-17,155.0,155.36,153.68,154.72,227813.0
2011-02-18,,,,155.96,0.0
2011-02-22,158.76,158.76,151.88,152.28,310860.0
2011-02-23,152.04,154.52,151.12,153.0,326487.0
2011-02-24,153.32,153.4,146.92,147.2,227496.0
2011-02-25,148.4,151.48,148.4,151.44,144055.0
2011-02-28,152.12,154.96,151.72,154.0,113194.0
2011-03-01,155.88,158.68,155.12,158.68,247239.0
2011-03-02,159.52,159.64,157.72,158.6,255070.0
2011-03-03,157.44,157.44,154.4,156.64,275641.0
2011-03-04,157.32,160.24,157.16,159.88,155808.0
2011-03-07,162.6,163.12,156.76,158.64,123108.0
2011-03-08,157.16,157.28,153.4,156.44,108512.0
2011-03-09,156.84,157.68,153.64,154.04,139358.0
2011-03-10,150.92,150.92,145.44,146.2,314219.0
2011-03-11,143.6,151.28,143.28,150.88,237442.0
