Date,Open,High,Low,Close,Volume
2008-01-02,65.73,66.55,64.81,65.15,7140100.0
2008-01-03,65.65,65.9,63.04,63.04,7958800.0
2008-01-04,62.32,63.0,61.01,61.04,11329400.0
2008-01-07,61.76,62.07,60.06,61.61,8651800.0
2008-01-08,61.9,63.36,59.21,59.37,10957900.0
2008-01-09,59.49,60.6,57.29,60.54,16410600.0
2008-01-10,59.11,62.44,58.69,61.34,16016200.0
2008-01-11,60.8,62.3,59.7,61.24,11200200.0
2008-01-14,61.82,62.31,59.72,61.07,8389300.0
2008-01-15,59.99,60.42,59.2,59.48,11132100.0
2008-01-16,59.14,61.43,59.14,60.25,12410600.0
2008-01-17,60.53,61.05,59.25,59.25,9732500.0
2008-01-18,59.72,60.46,57.77,59.02,11503900.0
2008-01-22,57.0,61.22,56.74,61.01,16160300.0
2008-01-23,59.45,66.64,59.45,66.0,23458100.0
2008-01-24,65.9,66.15,63.72,64.71,13276600.0
2008-01-25,65.42,65.94,63.35,63.81,11214700.0
2008-01-28,63.5,66.18,62.94,66.18,10138700.0
2008-01-29,66.0,66.62,64.97,65.78,8899700.0
2008-01-30,65.89,66.84,64.03,64.24,15006600.0
2008-01-31,63.16,66.19,63.07,65.77,14157000.0
2008-02-01,65.82,68.33,65.29,68.33,10200800.0
2008-02-04,68.18,68.18,66.5,67.27,7270300.0
2008-02-05,66.2,67.2,64.97,65.14,11490400.0
2008-02-06,65.46,65.77,63.89,63.89,10634700.0
2008-02-07,63.66,65.43,63.27,65.43,9400300.0
2008-02-08,65.29,65.33,62.62,63.4,13426000.0
2008-02-11,63.06,63.75,62.0,62.13,9406900.0
2008-02-12,62.6,64.18,62.48,64.09,10330500.0
2008-02-13,64.4,65.1,63.17,64.39,14019900.0
2008-02-14,64.03,64.51,63.1,63.91,6206500.0
2008-02-15,62.65,63.65,62.21,63.65,7024400.0
2008-02-19,64.0,64.49,62.53,62.54,7789300.0
2008-02-20,62.39,64.0,62.19,64.0,11189600.0
2008-02-21,64.44,64.65,62.43,62.55,11566100.0
2008-02-22,62.56,64.02,61.9,64.02,10194800.0
2008-02-25,63.78,66.0,63.16,66.0,8961300.0
2008-02-26,65.06,66.45,65.03,65.96,7176900.0
2008-02-27,65.27,66.53,65.09,65.49,5700100.0
2008-02-28,65.1,65.1,64.13,64.13,5285200.0
2008-02-29,63.78,63.98,62.86,63.01,6919800.0
2008-03-03,62.92,63.46,62.01,63.35,10580900.0
2008-03-04,62.2,63.32,61.7,62.84,9770900.0
2008-03-05,62.79,63.81,62.25,62.78,6298400.0
