Date,Open,High,Low,Close,Volume
2008-03-05,25.34,25.73,25.26,25.56,248600.0
2008-03-06,25.26,25.33,24.35,24.35,156500.0
2008-03-07,23.78,24.11,23.67,23.87,107300.0
2008-03-10,24.08,24.32,23.29,23.32,170000.0
2008-03-11,25.2,25.96,25.05,25.91,137800.0
2008-03-12,25.36,25.36,24.76,24.76,95400.0
2008-03-13,23.54,24.1,23.4,24.08,95600.0
2008-03-14,24.62,24.62,23.36,23.67,92700.0
2008-03-17,22.97,23.0,22.25,22.81,69400.0
2008-03-18,23.1,23.87,22.5,23.82,113900.0
2008-03-19,23.68,23.68,22.58,22.58,55200.0
2008-03-20,22.81,23.15,22.32,23.15,62500.0
2008-03-24,23.36,24.24,23.36,23.92,64100.0
2008-03-25,25.06,25.23,24.83,25.12,63400.0
2008-03-26,24.96,24.96,24.5,24.59,100500.0
2008-03-27,24.93,24.97,24.46,24.54,28700.0
2008-03-28,25.47,25.47,24.86,24.88,112900.0
2008-03-31,24.14,24.71,24.03,24.53,183300.0
2008-04-01,24.53,25.38,24.53,25.3,115400.0
2008-04-02,24.7,24.77,24.4,24.63,77500.0
2008-04-03,24.38,24.69,24.38,24.66,84700.0
2008-04-04,24.08,24.17,23.84,24.01,68200.0
2008-04-07,24.54,24.75,24.41,24.52,75300.0
2008-04-08,24.29,24.29,24.03,24.22,69500.0
2008-04-09,24.5,24.5,24.0,24.11,44200.0
2008-04-10,24.4,24.43,24.11,24.39,33500.0
2008-04-11,23.99,24.18,23.86,23.96,70000.0
2008-04-14,23.86,23.89,23.71,23.85,32700.0
2008-04-15,25.28,25.41,24.8,25.2,69900.0
2008-04-16,25.51,25.9,25.4,25.9,152500.0
2008-04-17,25.69,25.72,25.31,25.56,156800.0
2008-04-18,25.99,26.29,25.96,26.19,127400.0
2008-04-21,25.89,26.24,25.89,26.24,45600.0
2008-04-22,26.1,26.13,25.75,25.93,176400.0
2008-04-23,26.04,26.24,25.75,26.22,60600.0
2008-04-24,26.24,26.58,25.83,26.39,111200.0
2008-04-25,26.6,26.85,26.39,26.71,97400.0
2008-04-28,26.52,26.55,26.29,26.41,70600.0
2008-04-29,26.95,26.95,26.45,26.63,62400.0
