Date,Open,High,Low,Close,Volume
2008-01-02,52.3,52.88,51.91,52.56,655200.0
2008-01-03,53.25,53.34,52.76,53.01,481400.0
2008-01-04,52.88,52.91,51.66,51.84,346200.0
2008-01-07,52.5,53.17,52.0,52.88,578300.0
2008-01-08,53.23,53.3,52.05,52.09,477600.0
2008-01-09,52.65,53.66,52.0,53.59,761800.0
2008-01-10,53.37,53.99,52.82,53.99,565500.0
2008-01-11,53.27,53.3,52.51,52.82,446500.0
2008-01-14,53.44,54.0,53.29,53.93,759800.0
2008-01-15,53.53,53.53,52.0,52.3,571500.0
2008-01-16,50.82,50.82,48.22,48.84,1186700.0
2008-01-17,48.75,49.17,46.11,46.3,1169600.0
2008-01-18,47.82,48.39,46.23,47.59,547700.0
2008-01-22,43.02,45.81,43.0,44.97,613100.0
2008-01-23,43.28,44.84,41.26,44.77,1192000.0
2008-01-24,45.63,45.9,45.0,45.88,487200.0
2008-01-25,47.48,47.59,45.11,45.23,516800.0
2008-01-28,45.0,46.2,44.6,46.2,324800.0
2008-01-29,46.55,46.84,46.06,46.5,259800.0
2008-01-30,46.05,46.91,45.3,45.48,392600.0
2008-01-31,44.13,45.96,43.77,45.52,495600.0
2008-02-01,45.95,46.77,45.47,46.6,444100.0
2008-02-04,47.33,47.41,46.9,47.26,263700.0
2008-02-05,46.15,46.15,44.14,44.29,619400.0
2008-02-06,45.3,45.31,44.0,44.18,345100.0
2008-02-07,42.99,44.63,42.99,44.28,480200.0
2008-02-08,43.6,44.12,43.34,43.94,146800.0
2008-02-11,44.72,45.54,44.11,45.44,379700.0
2008-02-12,46.23,47.34,46.18,46.57,505100.0
2008-02-13,47.29,47.5,46.73,47.36,173000.0
2008-02-14,47.93,47.93,46.67,46.98,249800.0
2008-02-15,46.45,47.25,46.45,47.23,198200.0
2008-02-19,48.7,49.0,48.26,48.47,439700.0
2008-02-20,47.95,49.04,47.66,48.99,232900.0
2008-02-21,49.5,49.6,48.35,48.72,363200.0
2008-02-22,49.6,49.99,48.69,49.97,315500.0
2008-02-25,49.99,50.44,49.34,50.42,214600.0
2008-02-26,49.6,50.94,49.6,50.72,277100.0
2008-02-27,50.19,50.85,49.72,50.25,326900.0
