Date,Open,High,Low,Close,Volume
2008-01-02,146.53,146.99,143.88,144.93,83420500.0
2008-01-03,144.91,145.49,144.07,144.86,9548500.0
2008-01-04,143.34,143.44,140.91,141.31,1331200.0
2008-01-07,141.81,142.23,140.1,141.19,25071700.0
2008-01-08,142.08,142.9,138.44,138.91,7598400.0
2008-01-09,139.09,140.79,137.7,140.37,83554700.0
2008-01-10,139.68,142.8,139.37,141.29,383000.0
2008-01-11,140.78,141.9,139.0,140.15,50431600.0
2008-01-14,141.16,141.86,140.4,141.28,68935600.0
2008-01-15,139.79,141.49,137.9,138.17,13715800.0
2008-01-16,137.36,139.12,136.28,136.98,34491100.0
2008-01-17,137.81,137.88,132.93,133.43,60603700.0
2008-01-18,134.74,135.02,131.1,132.06,27488200.0
2008-01-22,127.21,132.43,126.0,130.72,75350600.0
2008-01-23,127.09,134.19,126.84,133.86,53861000.0
2008-01-24,134.48,135.46,133.31,134.99,38382600.0
2008-01-25,136.51,136.76,132.6,133.04,54297500.0
2008-01-28,133.26,135.52,132.06,135.24,996900.0
2008-01-29,136.1,136.45,134.88,135.91,50423800.0
2008-01-30,135.58,138.54,134.6,134.91,9014300.0
2008-01-31,133.4,138.54,133.2,137.37,27300.0
2008-02-01,137.94,139.61,137.52,139.58,75693300.0
2008-02-04,139.21,139.3,137.64,137.82,17589000.0
2008-02-05,135.94,136.25,133.67,134.13,41817300.0
2008-02-06,134.58,135.25,132.41,133.05,30175900.0
2008-02-07,131.8,134.79,131.73,133.93,72928400.0
2008-02-08,133.09,134.22,132.1,133.07,87033500.0
2008-02-11,133.1,134.23,132.04,133.75,75609700.0
2008-02-12,134.91,136.31,133.98,134.99,28951800.0
2008-02-13,136.01,137.1,135.14,136.37,64530900.0
2008-02-14,136.95,137.0,134.79,135.17,5983000.0
2008-02-15,134.55,136.1,133.36,135.14,35395500.0
2008-02-19,136.69,136.89,134.61,135.52,34647700.0
2008-02-20,133.99,137.6,133.76,135.92,7269400.0
2008-02-21,136.66,137.01,134.07,134.79,86703600.0
2008-02-22,134.97,135.85,132.86,135.62,96241900.0
2008-02-25,135.54,137.65,134.78,137.33,81420600.0
2008-02-26,136.75,138.95,136.5,138.36,83357000.0
2008-02-27,137.56,139.14,137.41,138.22,56319000.0
2008-02-28,137.24,137.96,136.55,136.87,48454900.0
2008-02-29,135.6,137.02,132.78,133.82,18108100.0
2008-03-03,133.14,133.81,132.24,133.5,76047400.0
2008-03-04,132.23,133.4,130.99,132.99,69970700.0
2008-03-05,133.41,134.77,132.34,133.83,54785900.0
2008-03-06,132.98,133.22,130.55,131.06,23474600.0
2008-03-07,129.63,131.74,128.58,129.71,85619200.0
2008-03-10,129.81,129.93,127.59,128.0,25759600.0
2008-03-11,130.72,132.72,127.72,132.6,86252100.0
2008-03-12,132.73,133.77,131.16,131.36,13367100.0
2008-03-13,129.61,132.64,128.6,131.69,22633200.0
2008-03-14,132.77,132.81,127.78,129.61,28979100.0
2008-03-17,126.57,129.26,126.07,128.3,59147800.0
2008-03-18,130.62,133.69,129.98,133.63,96513600.0
2008-03-19,134.14,134.65,130.04,130.27,15287200.0
2008-03-20,130.05,132.91,129.26,132.08,16551200.0
2008-03-24,133.31,135.81,133.24,134.78,98062600.0
2008-03-25,134.86,135.55,133.77,134.8,74743700.0
2008-03-26,134.46,135.09,133.11,133.17,79731900.0
2008-03-27,134.2,134.44,132.36,132.75,9234600.0
2008-03-28,132.99,133.36,131.06,131.56,60926500.0
2008-03-31,131.29,132.73,131.09,131.89,46257100.0
2008-04-01,133.71,136.84,133.51,136.61,24214000.0
2008-04-02,137.06,137.67,135.98,136.7,97205900.0
2008-04-03,135.94,137.44,135.71,137.01,60093200.0
2008-04-04,137.12,137.96,136.12,136.87,66241100.0
2008-04-07,137.87,138.57,136.74,136.92,41523500.0
2008-04-08,136.19,137.16,135.95,136.83,36635000.0
2008-04-09,136.61,136.8,134.89,135.77,79479000.0
2008-04-10,135.39,136.67,134.9,136.02,69820900.0
2008-04-11,134.45,135.98,133.01,133.38,96919200.0
2008-04-14,133.19,133.54,132.55,132.9,47861900.0
2008-04-15,133.58,133.69,132.33,133.37,53010700.0
2008-04-16,134.54,136.93,134.4,136.85,63884600.0
2008-04-17,136.02,137.25,135.66,136.97,66576000.0
2008-04-18,138.94,139.56,138.26,138.48,89986600.0
2008-04-21,138.23,138.98,136.87,138.59,9632500.0
2008-04-22,138.19,138.37,136.64,137.92,50083400.0
2008-04-23,138.09,138.78,137.12,137.72,76544200.0
2008-04-24,138.08,139.74,137.04,138.32,6983900.0
2008-04-25,139.41,139.89,137.91,139.52,79953200.0
2008-04-28,139.88,140.25,139.38,139.63,98312500.0
2008-04-29,139.39,139.73,138.61,139.08,28874300.0
2008-04-30,139.29,140.59,138.26,138.26,88894900.0
2008-05-01,138.39,141.12,138.27,141.11,78483200.0
2008-05-02,142.33,142.37,140.56,141.54,57171100.0
2008-05-05,141.05,141.61,140.41,140.79,14456000.0
2008-05-06,140.01,142.2,139.69,142.05,63440400.0
2008-05-07,141.89,142.04,139.13,139.57,79217500.0
2008-05-08,139.74,140.32,138.98,139.16,64036600.0
2008-05-09,138.6,139.39,138.45,138.9,41573800.0
2008-05-12,139.25,140.56,138.73,140.46,38756300.0
2008-05-13,140.8,140.89,139.73,140.49,42374400.0
2008-05-14,141.07,142.2,140.46,140.82,62882800.0
2008-05-15,141.04,142.63,140.83,142.55,55429400.0
2008-05-16,142.86,142.87,141.61,142.7,91685000.0
2008-05-19,142.81,144.3,142.3,143.08,58966900.0
2008-05-20,142.27,142.34,141.0,141.88,62027400.0
2008-05-21,141.81,142.12,139.0,139.49,33990200.0
2008-05-22,139.43,140.17,139.0,139.51,58631100.0
2008-05-23,139.05,139.66,137.52,137.61,67656600.0
2008-05-27,137.8,139.0,137.53,138.73,51878400.0
2008-05-28,139.17,140.0,138.0,139.3,64407900.0
2008-05-29,139.13,140.93,139.08,140.0,66022700.0
2008-05-30,140.47,140.74,139.94,140.26,4628100.0
2008-06-02,139.83,139.86,138.0,138.86,72299200.0
