Date,Open,High,Low,Close,Volume
2008-01-02,75.53,75.53,74.3,74.53,541600.0
2008-01-03,74.87,74.88,74.35,74.8,491600.0
2008-01-04,74.32,74.32,72.69,72.98,537400.0
2008-01-07,73.1,73.41,72.57,72.95,604000.0
2008-01-08,73.47,74.02,72.36,72.4,440300.0
2008-01-09,72.08,72.69,71.73,72.5,495400.0
2008-01-10,71.66,72.92,71.66,72.56,866900.0
2008-01-11,71.5,71.99,70.93,71.24,1512100.0
2008-01-14,72.95,72.95,72.05,72.37,537900.0
2008-01-15,70.99,71.49,70.04,70.05,729500.0
2008-01-16,69.83,70.4,68.53,68.7,872200.0
2008-01-17,69.29,69.68,67.34,67.63,1950000.0
2008-01-18,68.25,69.05,67.13,67.49,750100.0
2008-01-22,61.43,65.88,60.0,65.6,1401400.0
2008-01-23,62.23,65.82,61.62,65.39,3084000.0
2008-01-24,66.02,67.42,66.02,67.3,1050100.0
2008-01-25,68.22,68.4,65.68,65.9,940600.0
2008-01-28,66.35,67.29,65.53,67.29,754400.0
2008-01-29,67.52,67.66,66.8,67.6,351600.0
2008-01-30,67.02,68.81,66.76,67.2,443400.0
2008-01-31,66.3,68.69,65.79,68.1,1934200.0
2008-02-01,68.77,69.2,68.18,69.04,502200.0
2008-02-04,68.87,68.95,68.27,68.27,539600.0
2008-02-05,66.66,66.7,65.05,65.11,761500.0
2008-02-06,65.48,66.38,65.14,65.48,990700.0
2008-02-07,64.44,65.1,64.08,64.71,601400.0
2008-02-08,64.01,64.79,63.81,64.35,443300.0
2008-02-11,64.13,64.8,63.66,64.8,482800.0
2008-02-12,65.32,66.56,65.32,65.96,737800.0
2008-02-13,66.13,67.06,66.1,66.83,626000.0
2008-02-14,67.31,67.31,66.33,66.36,881600.0
2008-02-15,65.68,66.31,65.55,66.16,222500.0
2008-02-19,67.36,67.83,66.87,67.11,343000.0
2008-02-20,66.11,67.3,66.0,67.01,902600.0
2008-02-21,67.22,67.81,66.78,67.13,272700.0
2008-02-22,67.58,67.67,66.49,67.59,345900.0
