Date,Open,High,Low,Close,Volume
2009-01-30,400.44,420.16,399.0,418.32,53925.0
2009-02-02,432.4,432.4,415.76,417.0,77143.0
2009-02-03,416.56,416.56,397.24,397.48,44427.0
2009-02-04,393.0,401.56,388.0,398.96,39214.0
2009-02-05,406.4,415.16,392.6,396.52,60955.0
2009-02-06,396.0,396.08,380.24,390.8,38310.0
2009-02-09,393.32,401.28,391.48,397.32,31375.0
2009-02-10,404.0,422.64,395.12,418.4,64153.0
2009-02-11,416.2,419.32,408.4,412.28,21476.0
2009-02-12,421.0,432.0,411.04,411.04,25521.0
2009-02-13,412.96,412.96,404.0,407.96,27305.0
2009-02-17,428.0,443.12,424.0,428.36,22145.0
2009-02-18,420.0,438.72,420.0,432.88,19841.0
2009-02-19,432.12,436.2,421.96,433.12,12468.0
2009-02-20,447.56,465.6,445.76,453.28,38554.0
2009-02-23,444.0,478.08,444.0,477.52,23808.0
2009-02-24,480.0,480.0,430.8,432.32,34661.0
2009-02-25,437.08,452.16,420.56,429.8,41559.0
2009-02-26,423.92,437.64,411.84,434.08,19243.0
2009-02-27,454.84,454.84,423.84,434.68,27470.0
2009-03-02,444.08,472.08,444.08,465.56,41470.0
2009-03-03,452.2,474.2,452.2,463.6,37986.0
2009-03-04,459.96,459.96,419.16,431.24,38533.0
2009-03-05,442.4,459.96,434.04,457.2,46502.0
2009-03-06,459.92,462.44,442.8,453.52,57066.0
2009-03-09,454.2,458.0,441.04,455.28,33035.0
2009-03-10,452.0,452.0,418.64,421.36,44396.0
2009-03-11,416.0,424.8,408.64,418.24,84096.0
2009-03-12,417.4,422.8,407.72,410.96,121219.0
2009-03-13,408.8,421.96,407.88,417.0,127958.0
2009-03-16,416.0,432.08,414.44,431.68,132808.0
2009-03-17,435.92,437.2,415.88,416.72,135447.0
2009-03-18,420.4,424.44,408.4,417.76,176180.0
2009-03-19,419.6,437.36,408.0,437.36,144236.0
2009-03-20,434.08,467.44,434.0,463.84,181810.0
2009-03-23,452.0,459.0,433.24,434.48,168536.0
2009-03-24,438.04,443.74,426.12,441.6,131851.0
2009-03-25,432.2,446.56,420.6,434.56,166064.0
2009-03-26,426.76,426.8,412.72,417.44,149558.0
2009-03-27,417.88,429.64,417.88,429.24,118700.0
2009-03-30,448.0,465.8,444.64,461.16,192827.0
2009-03-31,457.6,459.92,445.2,452.84,150328.0
2009-04-01,468.12,475.96,442.4,444.68,157355.0
2009-04-02,432.0,443.84,425.96,437.4,197859.0
2009-04-03,456.2,456.2,427.36,429.68,105654.0
2009-04-06,433.56,439.36,431.4,432.08,137789.0
2009-04-07,435.56,440.0,428.12,432.04,141790.0
2009-04-08,423.04,433.16,422.4,423.12,114748.0
2009-04-09,412.0,413.0,402.96,407.44,114504.0
2009-04-10,,,,407.44,0.0
2009-04-13,410.08,414.06,399.84,401.48,75546.0
2009-04-14,407.12,408.52,399.76,401.76,134371.0
2009-04-15,404.08,404.08,391.44,392.0,84709.0
2009-04-16,388.0,390.12,374.92,379.64,98004.0
2009-04-17,379.96,386.4,370.24,370.92,125851.0
2009-04-20,378.36,400.48,375.36,398.36,162058.0
2009-04-21,401.64,404.28,382.44,384.28,74991.0
2009-04-22,388.8,388.8,369.24,385.08,77985.0
2009-04-23,383.64,390.4,379.44,383.32,83381.0
2009-04-24,381.64,386.28,377.16,382.44,67046.0
2009-04-27,383.96,395.08,383.16,393.28,99092.0
2009-04-28,397.28,399.36,383.84,388.44,83491.0
2009-04-29,387.24,387.24,365.2,372.08,72508.0
2009-04-30,371.32,377.04,360.84,375.04,82549.0
2009-05-01,374.24,379.72,367.2,370.24,35089.0
2009-05-04,363.8,367.84,349.44,350.52,115353.0
2009-05-05,351.44,358.36,351.44,353.52,82398.0
2009-05-06,350.92,350.92,339.84,341.36,48903.0
2009-05-07,338.0,350.24,333.88,346.28,66427.0
2009-05-08,345.12,345.12,325.96,330.6,74752.0
2009-05-11,334.6,342.76,330.16,333.56,70044.0
2009-05-12,331.12,340.8,329.4,331.84,81612.0
2009-05-13,344.16,344.92,335.12,342.12,83342.0
2009-05-14,349.2,349.2,326.04,327.68,96162.0
2009-05-15,326.0,337.56,321.04,333.72,52281.0
2009-05-18,333.96,333.96,309.96,311.52,95573.0
2009-05-19,307.68,314.04,300.88,305.48,61214.0
2009-05-20,303.2,310.08,287.84,309.52,207610.0
2009-05-21,313.96,333.84,310.64,326.8,273535.0
2009-05-22,325.8,335.24,320.08,335.24,107544.0
2009-05-25,,,,335.24,0.0
2009-05-26,335.24,335.24,306.08,314.44,141126.0
2009-05-27,313.0,324.76,304.6,323.36,117984.0
2009-05-28,321.4,327.56,312.68,318.72,106398.0
2009-05-29,311.32,320.04,310.92,311.72,55671.0
2009-06-01,307.52,307.72,292.92,297.6,103902.0
2009-06-02,299.84,304.76,290.88,301.64,75451.0
2009-06-03,304.72,321.16,303.4,316.2,88859.0
2009-06-04,314.88,316.76,307.16,310.12,66456.0
2009-06-05,310.28,316.4,302.88,309.4,83600.0
2009-06-08,312.16,320.04,306.04,310.96,59112.0
2009-06-09,309.6,309.6,295.56,297.04,88630.0
2009-06-10,292.88,310.04,292.08,300.0,108052.0
2009-06-11,298.48,298.48,285.92,293.24,107412.0
2009-06-12,295.64,296.36,287.08,287.6,71862.0
2009-06-15,291.6,301.0,290.74,300.36,95782.0
2009-06-16,302.08,314.88,296.68,311.2,147543.0
2009-06-17,312.16,321.08,310.32,315.8,124583.0
2009-06-18,315.16,318.76,307.76,312.76,104031.0
2009-06-19,313.08,313.08,302.0,304.08,69048.0
2009-06-22,311.88,319.76,306.92,316.24,95549.0
2009-06-23,315.48,319.56,308.68,308.8,125493.0
2009-06-24,308.76,308.76,295.13,297.68,116149.0
2009-06-25,301.52,301.52,281.96,283.64,173676.0
2009-06-26,286.6,287.68,277.08,279.2,100959.0
2009-06-29,279.76,281.16,267.12,267.84,160975.0
2009-06-30,267.96,276.12,263.48,272.44,231521.0
2009-07-01,269.4,271.68,264.32,271.36,147682.0
2009-07-02,275.48,286.72,275.16,286.32,258546.0
2009-07-03,,,,286.32,0.0
2009-07-06,289.88,292.32,282.32,282.68,101720.0
2009-07-07,286.44,293.8,283.24,291.36,80806.0
2009-07-08,293.96,309.2,289.92,297.6,180764.0
2009-07-09,294.0,296.72,287.6,292.72,127871.0
2009-07-10,294.36,298.92,291.44,292.6,97778.0
2009-07-13,293.92,294.88,279.6,282.8,207250.0
2009-07-14,280.96,283.16,274.72,276.56,156948.0
2009-07-15,270.96,272.92,263.96,269.72,384461.0
2009-07-16,271.48,271.56,263.68,265.24,281344.0
2009-07-17,266.0,266.76,263.0,265.32,157617.0
2009-07-20,263.96,266.32,259.12,260.16,218968.0
2009-07-21,257.96,261.48,255.56,256.4,240560.0
2009-07-22,259.16,260.12,243.16,245.52,448710.0
2009-07-23,246.56,246.96,237.32,238.48,385110.0
2009-07-24,240.08,241.56,237.32,237.48,153338.0
2009-07-27,240.92,242.72,237.44,240.0,184831.0
2009-07-28,243.96,251.88,240.08,250.2,329164.0
2009-07-29,251.28,255.72,248.2,252.88,147914.0
2009-07-30,248.76,249.4,243.12,246.4,137462.0
2009-07-31,247.52,248.4,243.04,247.88,122806.0
2009-08-03,245.36,247.12,241.88,243.48,161153.0
2009-08-04,245.32,246.36,240.08,240.8,153100.0
2009-08-05,242.08,244.52,239.24,239.8,182753.0
2009-08-06,239.96,244.76,236.32,242.96,197146.0
2009-08-07,240.16,243.0,230.04,233.08,177562.0
2009-08-10,235.2,238.6,233.08,233.4,123709.0
2009-08-12,240.56,241.28,232.2,234.44,162004.0
2009-08-13,234.56,237.92,228.56,229.04,221909.0
2009-08-14,229.92,238.16,229.92,235.48,147444.0
2009-08-17,241.84,249.32,241.52,248.28,265464.0
2009-08-18,247.52,248.56,241.76,243.4,176618.0
2009-08-19,246.76,247.92,233.28,235.56,271861.0
