Date,Open,High,Low,Close,Volume
2008-01-02,52.81,53.1,52.35,52.9,192300.0
2008-01-03,53.4,53.5,52.98,53.02,431400.0
2008-01-04,52.43,52.5,51.5,51.55,347100.0
2008-01-07,51.91,51.91,50.64,51.22,320900.0
2008-01-08,51.02,52.0,50.41,50.41,419100.0
2008-01-09,50.58,51.17,50.02,51.13,513500.0
2008-01-10,50.45,51.18,50.19,51.08,177800.0
2008-01-11,50.83,51.23,50.5,50.61,128300.0
2008-01-14,51.32,52.09,51.31,51.96,247600.0
2008-01-15,51.05,51.2,50.14,50.24,423500.0
2008-01-16,49.95,49.97,48.1,48.5,643400.0
2008-01-17,48.56,49.41,46.35,46.45,254300.0
2008-01-18,46.58,47.51,44.61,46.9,569700.0
2008-01-22,44.37,46.07,44.37,45.61,293300.0
2008-01-23,44.58,45.14,42.31,45.14,418800.0
2008-01-24,45.91,46.68,45.52,46.65,209600.0
2008-01-25,47.2,47.44,45.8,46.12,154900.0
2008-01-28,45.75,46.98,45.36,46.95,447100.0
2008-01-29,47.41,47.9,47.25,47.67,254800.0
2008-01-30,47.45,48.96,47.37,47.75,695800.0
2008-01-31,46.72,48.57,46.72,48.04,412600.0
2008-02-01,48.25,49.16,48.2,49.09,112800.0
2008-02-04,49.21,49.76,48.7,49.5,383300.0
2008-02-05,48.22,49.0,47.55,47.65,334200.0
2008-02-06,47.98,48.01,46.83,46.93,314900.0
2008-02-07,46.53,47.89,46.53,47.7,600300.0
2008-02-08,47.93,49.35,47.93,49.23,348900.0
2008-02-11,49.65,50.75,49.1,50.74,282400.0
2008-02-12,50.7,51.5,50.05,50.44,752800.0
2008-02-13,51.07,51.47,50.62,51.41,825100.0
2008-02-14,51.93,51.97,51.29,51.29,553000.0
2008-02-15,51.05,51.07,49.82,50.68,524700.0
2008-02-19,52.2,53.35,52.2,53.35,953900.0
2008-02-20,52.63,53.82,52.6,53.65,398600.0
2008-02-21,53.85,53.85,52.19,52.28,747400.0
2008-02-22,52.82,52.95,51.57,52.92,760900.0
2008-02-25,53.19,54.98,53.1,54.92,422100.0
2008-02-26,55.1,55.66,54.0,55.47,616400.0
2008-02-27,54.8,55.64,54.41,54.63,372600.0
2008-02-28,55.08,55.99,55.08,55.79,975800.0
2008-02-29,55.2,55.25,54.05,54.48,1084000.0
2008-03-03,54.7,55.54,54.05,55.07,740500.0
2008-03-04,55.0,55.17,52.99,53.99,394400.0
2008-03-05,54.49,54.93,54.01,54.93,184500.0
2008-03-06,55.15,55.15,53.36,53.39,387000.0
2008-03-07,52.99,53.55,52.03,52.77,192500.0
2008-03-10,53.24,53.24,51.79,52.0,372800.0
2008-03-11,53.54,54.29,52.61,54.19,133200.0
2008-03-12,54.03,54.41,53.18,53.3,198200.0
2008-03-13,52.97,54.94,51.81,54.71,354700.0
2008-03-14,55.6,55.6,52.95,53.77,292600.0
2008-03-17,53.08,54.65,50.45,51.41,468400.0
2008-03-18,52.55,53.37,52.14,53.37,328200.0
2008-03-19,53.06,53.33,50.11,50.11,409500.0
2008-03-20,49.99,50.35,47.33,50.2,313300.0
2008-03-24,50.62,52.01,50.43,51.32,94900.0
2008-03-25,51.63,52.74,51.63,52.53,102500.0
2008-03-26,52.69,54.14,52.69,53.85,112300.0
2008-03-27,54.32,54.32,53.18,53.2,77900.0
2008-03-28,53.13,54.27,53.0,53.37,135300.0
2008-03-31,53.07,54.08,52.92,53.75,309500.0
2008-04-01,53.58,54.47,53.24,54.47,78900.0
2008-04-02,54.8,55.9,54.3,55.5,144300.0
2008-04-03,55.56,56.01,55.14,55.35,84900.0
2008-04-04,56.05,56.53,54.55,56.18,143800.0
2008-04-07,56.74,57.21,56.04,56.3,230800.0
2008-04-08,56.75,57.36,56.54,57.16,164500.0
2008-04-09,57.66,58.08,56.91,57.19,257000.0
2008-04-10,57.19,57.44,56.54,57.4,131700.0
2008-04-11,56.95,57.28,56.27,56.38,112000.0
2008-04-14,56.25,57.96,56.25,57.65,168700.0
2008-04-15,58.42,58.5,57.32,58.31,156500.0
2008-04-16,58.56,60.42,58.52,60.42,164900.0
2008-04-17,60.54,61.08,59.47,59.88,197600.0
2008-04-18,61.39,61.39,59.63,60.86,136400.0
2008-04-21,60.91,61.51,60.59,61.36,344500.0
2008-04-22,61.37,62.24,61.01,61.22,316400.0
2008-04-23,61.36,61.36,59.98,60.06,182900.0
2008-04-24,59.77,59.85,58.4,58.7,619000.0
2008-04-25,59.18,60.78,59.15,60.74,275900.0
2008-04-28,61.0,61.41,60.38,60.51,216500.0
2008-04-29,60.59,60.59,58.46,58.46,261100.0
2008-04-30,58.52,59.65,58.35,58.89,548800.0
2008-05-01,58.75,58.75,56.3,57.86,278900.0
2008-05-02,58.11,59.15,58.11,58.87,120200.0
2008-05-05,58.76,60.44,58.76,60.18,133000.0
2008-05-06,59.9,62.79,59.9,62.65,356700.0
2008-05-07,63.14,63.37,62.11,62.19,350800.0
2008-05-08,62.51,63.19,62.06,63.19,168400.0
2008-05-09,63.1,63.27,61.9,62.52,140600.0
2008-05-12,62.45,62.76,61.87,62.6,575400.0
2008-05-13,62.89,63.86,62.17,63.71,124100.0
2008-05-14,64.03,64.17,62.98,63.02,438500.0
2008-05-15,63.75,63.81,62.1,63.38,621500.0
2008-05-16,63.82,64.91,63.82,64.91,198400.0
2008-05-19,64.9,66.62,64.9,65.82,454400.0
2008-05-20,65.56,67.51,65.56,67.34,503800.0
2008-05-21,67.57,68.06,66.06,66.07,3065700.0
2008-05-22,66.15,67.25,65.26,65.45,2295900.0
2008-05-23,65.81,66.35,63.72,64.56,321100.0
2008-05-27,64.66,65.72,63.56,63.88,2085000.0
2008-05-28,63.52,65.05,63.07,65.05,3366200.0
2008-05-29,64.85,64.85,62.76,62.93,1133400.0
2008-05-30,63.01,65.22,63.01,64.85,1341500.0
2008-06-02,65.3,67.46,64.93,66.76,832800.0
2008-06-03,67.28,67.95,66.0,66.29,1058500.0
2008-06-04,66.49,66.49,64.5,64.66,1970400.0
2008-06-05,64.8,68.35,64.8,68.35,2165800.0
2008-06-06,69.44,70.04,67.79,67.82,799000.0
2008-06-09,67.87,70.01,67.87,69.54,698300.0
2008-06-10,69.65,70.0,66.42,67.57,1395600.0
2008-06-11,68.19,69.01,67.51,68.47,1164800.0
2008-06-12,68.66,68.66,66.69,66.94,740300.0
2008-06-13,67.53,67.9,66.68,67.32,1357300.0
2008-06-16,68.43,68.86,68.08,68.34,412300.0
2008-06-17,68.99,70.95,68.74,70.51,348900.0
2008-06-18,71.02,71.02,69.52,70.81,538600.0
2008-06-19,71.41,71.66,68.74,69.11,663400.0
2008-06-20,69.42,70.02,68.18,68.57,482500.0
2008-06-23,69.39,71.38,68.78,71.38,175600.0
2008-06-24,71.57,71.57,69.11,69.17,289300.0
2008-06-25,69.0,69.0,66.79,68.27,511100.0
2008-06-26,68.67,69.06,66.5,67.54,508400.0
2008-06-27,67.73,68.87,67.66,68.55,340900.0
2008-06-30,69.46,70.38,69.26,70.11,277500.0
2008-07-01,69.79,71.06,69.48,70.93,579500.0
2008-07-02,71.85,73.04,68.5,68.84,3040600.0
2008-07-03,69.99,69.99,65.38,66.52,1310500.0
2008-07-07,66.22,66.99,63.41,64.6,1215500.0
2008-07-08,63.54,63.54,60.27,63.24,1435800.0
2008-07-09,63.53,64.78,61.24,61.24,1539100.0
2008-07-10,61.44,64.52,61.09,64.52,803800.0
