Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2016/6/10, 00:00:00, 2102.50, 2103.00, 2102.50, 2102.75, 165, 63, 37, 128
2016/6/10, 00:05:00, 2103.00, 2103.25, 2102.75, 2103.25, 301, 168, 123, 178
2016/6/10, 00:10:00, 2103.25, 2103.50, 2103.00, 2103.50, 156, 100, 79, 77
2016/6/10, 00:15:00, 2103.25, 2103.50, 2103.25, 2103.50, 47, 39, 16, 31
2016/6/10, 00:20:00, 2103.50, 2103.50, 2103.25, 2103.50, 54, 42, 22, 32
2016/6/10, 00:25:00, 2103.50, 2103.50, 2103.25, 2103.25, 71, 57, 38, 33
2016/6/10, 00:30:00, 2103.25, 2103.50, 2103.00, 2103.25, 88, 67, 59, 29
2016/6/10, 00:35:00, 2103.25, 2103.75, 2103.00, 2103.50, 147, 100, 61, 86
2016/6/10, 00:40:00, 2103.50, 2103.50, 2103.00, 2103.00, 258, 199, 152, 106
2016/6/10, 00:45:00, 2103.25, 2103.50, 2103.00, 2103.25, 159, 104, 64, 95
2016/6/10, 00:50:00, 2103.25, 2103.50, 2103.00, 2103.25, 106, 89, 58, 48
2016/6/10, 00:55:00, 2103.00, 2103.25, 2103.00, 2103.00, 93, 66, 67, 26
2016/6/10, 01:00:00, 2103.25, 2103.25, 2102.75, 2103.25, 265, 164, 139, 126
2016/6/10, 01:05:00, 2103.25, 2103.50, 2103.00, 2103.00, 186, 116, 114, 72
2016/6/10, 01:10:00, 2103.25, 2103.25, 2102.75, 2102.75, 247, 151, 150, 97
2016/6/10, 01:15:00, 2103.00, 2103.00, 2102.75, 2103.00, 56, 34, 24, 32
2016/6/10, 01:20:00, 2102.75, 2103.00, 2102.50, 2102.75, 199, 127, 84, 115
2016/6/10, 01:25:00, 2102.75, 2102.75, 2102.50, 2102.75, 147, 80, 20, 127
2016/6/10, 01:30:00, 2102.75, 2103.00, 2102.50, 2102.75, 434, 220, 100, 334
2016/6/10, 01:35:00, 2103.00, 2103.00, 2102.75, 2102.75, 110, 65, 92, 18
2016/6/10, 01:40:00, 2103.00, 2103.00, 2102.75, 2102.75, 177, 87, 86, 91
2016/6/10, 01:45:00, 2102.75, 2102.75, 2102.50, 2102.75, 115, 58, 39, 76
2016/6/10, 01:50:00, 2103.00, 2103.00, 2102.75, 2103.00, 135, 54, 110, 25
2016/6/10, 01:55:00, 2102.75, 2103.00, 2102.50, 2102.50, 116, 61, 65, 51
2016/6/10, 02:00:00, 2102.75, 2103.00, 2102.75, 2103.00, 282, 143, 50, 232
2016/6/10, 02:05:00, 2103.00, 2103.75, 2102.75, 2102.75, 746, 344, 385, 361
2016/6/10, 02:10:00, 2102.75, 2103.00, 2102.25, 2102.25, 427, 229, 220, 207
2016/6/10, 02:15:00, 2102.50, 2102.75, 2102.25, 2102.25, 282, 119, 193, 89
2016/6/10, 02:20:00, 2102.25, 2102.50, 2102.00, 2102.25, 417, 175, 197, 220
2016/6/10, 02:25:00, 2102.25, 2102.25, 2101.25, 2101.75, 840, 486, 490, 350
2016/6/10, 02:30:00, 2102.00, 2102.75, 2102.00, 2102.75, 239, 148, 65, 174
2016/6/10, 02:35:00, 2102.75, 2103.00, 2102.75, 2103.00, 204, 106, 129, 75
2016/6/10, 02:40:00, 2102.75, 2102.75, 2102.50, 2102.50, 505, 233, 349, 156
2016/6/10, 02:45:00, 2102.50, 2102.50, 2101.75, 2102.00, 353, 205, 185, 168
2016/6/10, 02:50:00, 2101.75, 2101.75, 2101.25, 2101.50, 755, 369, 524, 231
2016/6/10, 02:55:00, 2101.50, 2101.50, 2100.75, 2101.25, 783, 335, 331, 452
2016/6/10, 03:00:00, 2101.00, 2101.25, 2099.25, 2099.75, 3219, 1364, 1845, 1374
2016/6/10, 03:05:00, 2099.75, 2100.75, 2099.25, 2100.25, 2021, 862, 951, 1070
2016/6/10, 03:10:00, 2100.25, 2100.25, 2098.50, 2098.75, 3107, 1371, 1959, 1148
2016/6/10, 03:15:00, 2099.00, 2099.00, 2095.75, 2096.00, 5649, 2171, 3433, 2216
2016/6/10, 03:20:00, 2096.25, 2097.25, 2095.25, 2097.25, 2997, 1367, 1286, 1711
2016/6/10, 03:25:00, 2097.00, 2097.25, 2096.25, 2096.50, 1706, 831, 897, 809
2016/6/10, 03:30:00, 2096.50, 2097.50, 2095.75, 2097.50, 2426, 1134, 1186, 1240
2016/6/10, 03:35:00, 2097.50, 2098.25, 2097.25, 2098.25, 1233, 648, 551, 682
2016/6/10, 03:40:00, 2098.25, 2098.25, 2097.50, 2097.50, 1011, 472, 649, 362
2016/6/10, 03:45:00, 2097.50, 2097.75, 2097.00, 2097.50, 1342, 617, 692, 650
2016/6/10, 03:50:00, 2097.50, 2097.50, 2096.50, 2096.50, 1172, 559, 657, 515
2016/6/10, 03:55:00, 2096.75, 2097.00, 2095.25, 2095.50, 2422, 1029, 1596, 826
2016/6/10, 04:00:00, 2095.50, 2097.25, 2095.25, 2096.75, 1633, 692, 765, 868
2016/6/10, 04:05:00, 2096.50, 2096.50, 2094.00, 2094.25, 3886, 1556, 2203, 1683
2016/6/10, 04:10:00, 2094.50, 2095.75, 2093.75, 2095.50, 2592, 1064, 1181, 1411
2016/6/10, 04:15:00, 2095.50, 2096.00, 2095.25, 2096.00, 1152, 527, 574, 578
2016/6/10, 04:20:00, 2096.00, 2096.25, 2095.25, 2095.75, 1547, 666, 751, 796
2016/6/10, 04:25:00, 2095.75, 2096.25, 2095.75, 2095.75, 1095, 437, 438, 657
2016/6/10, 04:30:00, 2095.75, 2096.50, 2095.50, 2096.50, 969, 432, 391, 578
2016/6/10, 04:35:00, 2096.50, 2096.50, 2096.00, 2096.00, 664, 302, 263, 401
2016/6/10, 04:40:00, 2096.00, 2096.75, 2095.75, 2095.75, 782, 459, 495, 287
2016/6/10, 04:45:00, 2096.00, 2096.00, 2094.50, 2094.75, 1980, 786, 1089, 891
2016/6/10, 04:50:00, 2094.75, 2095.25, 2094.50, 2094.75, 1327, 579, 623, 704
2016/6/10, 04:55:00, 2094.75, 2095.25, 2094.50, 2094.75, 1567, 770, 735, 832
