Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2016/6/20, 00:00:00, 2082.00, 2082.75, 2082.00, 2082.00, 1008, 500, 524, 484
2016/6/20, 00:10:05.2, 2082.00, 2082.00, 2081.25, 2081.75, 1033, 500, 526, 507
2016/6/20, 00:21:57.4, 2081.75, 2082.00, 2081.00, 2081.00, 892, 500, 698, 194
2016/6/20, 00:32:48.52, 2081.00, 2081.75, 2080.75, 2081.25, 845, 500, 401, 444
2016/6/20, 00:43:59.6, 2081.25, 2081.50, 2081.00, 2081.00, 1037, 500, 586, 451
2016/6/20, 00:55:27.1, 2081.00, 2082.50, 2081.00, 2082.50, 1055, 500, 342, 713
2016/6/20, 01:00:28.33, 2082.50, 2082.75, 2082.25, 2082.50, 942, 500, 463, 479
2016/6/20, 01:01:38.2, 2082.50, 2082.75, 2082.00, 2082.75, 1038, 500, 457, 581
2016/6/20, 01:03:41.27, 2082.75, 2083.25, 2082.75, 2082.75, 1194, 500, 636, 558
2016/6/20, 01:06:02.3, 2082.75, 2083.00, 2082.00, 2082.75, 1063, 500, 430, 633
2016/6/20, 01:10:15.1, 2082.75, 2083.75, 2082.75, 2083.25, 1195, 500, 426, 769
2016/6/20, 01:13:00.1, 2083.25, 2083.75, 2082.75, 2083.75, 1385, 500, 591, 794
2016/6/20, 01:16:39.42, 2083.75, 2084.50, 2083.50, 2084.50, 1550, 500, 75, 1475
2016/6/20, 01:17:13.69, 2084.50, 2084.75, 2084.25, 2084.50, 1467, 500, 611, 856
2016/6/20, 01:19:40.20, 2084.50, 2085.25, 2084.25, 2085.25, 1494, 500, 95, 1399
2016/6/20, 01:21:40.32, 2085.25, 2086.00, 2085.25, 2085.75, 1347, 500, 565, 782
2016/6/20, 01:22:47.29, 2085.75, 2085.75, 2085.00, 2085.00, 1312, 500, 827, 485
2016/6/20, 01:26:12, 2085.00, 2085.50, 2084.75, 2084.75, 1318, 500, 827, 491
2016/6/20, 01:31:27.34, 2084.75, 2085.50, 2084.50, 2085.25, 1206, 500, 525, 681
2016/6/20, 01:34:54.12, 2085.25, 2085.25, 2084.75, 2084.75, 1448, 500, 805, 643
2016/6/20, 01:37:27.18, 2084.75, 2085.50, 2084.50, 2084.50, 1241, 500, 699, 542
2016/6/20, 01:42:48.4, 2084.50, 2084.75, 2083.50, 2083.75, 1141, 500, 894, 247
2016/6/20, 01:44:57.25, 2083.75, 2084.00, 2083.25, 2083.50, 1104, 500, 588, 516
2016/6/20, 01:47:50.8, 2083.50, 2083.75, 2083.00, 2083.00, 1191, 500, 838, 353
2016/6/20, 01:50:45, 2083.00, 2083.50, 2082.75, 2083.25, 1486, 500, 748, 738
